LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MODIFIED_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
21,17,2,10,0.26,2,0.2,32,1,35,23.31,30.11,21129.06,131,1173.84,701.84,6,24,0.14,52,79,19,22,71,27.08,39,0
3,5,0,3,0.38,1,0.33,10,1,6,11.15,13,1884.3,33,104.68,144.95,2,9,0.15,13,20,7,14,20,53.85,8,1
0,3,0,2,0.67,1,0.5,5,1,3,11.39,3.5,139.52,12,7.75,39.86,1,5,0.4,3,9,3,7,5,0,3,0
9,3,3,2,0.07,2,1,9,1,20,30.43,17.19,8989.71,110,499.43,523.03,1,9,0.04,50,60,16,11,46,42.86,30,1
1,20,5,12,0.28,9,0.75,50,7,41,30.92,45.36,63608.7,246,3533.82,1402.31,0,40,0.25,84,162,25,27,48,10.87,43,0
12,1,5,1,0.1,1,1,8,1,7,33.33,5.4,972,45,54,180,0,9,0.03,18,27,10,6,29,53.33,10,1
15,5,4,3,0.23,3,1,16,1,13,35.25,13.42,6349.96,93,352.78,473.13,2,15,0.09,34,59,19,15,33,18.75,13,0
15,1,8,1,0.05,1,1,11,1,11,118.03,3.19,1200.82,74,66.71,376.47,0,12,0.01,37,37,29,5,134,59.26,19,0
40,21,6,11,0.16,6,0.55,42,9,52,53.33,32.38,55896.59,296,3105.37,1726.54,10,33,0.06,111,185,36,21,196,64.14,67,0
5,5,0,3,0.14,1,0.33,10,1,19,16.3,23.33,8879.54,83,493.31,380.55,2,9,0.1,28,55,9,15,30,17.39,22,0
14,1,1,1,0,1,1,196,1,155,2246.32,11.67,306039.54,2833,17002.2,26219.5,0,197,0,1403,1430,601,10,226,26.19,210,1
1,7,1,4,0.67,2,0.5,14,4,6,10.69,9,865.9,26,48.11,96.21,0,12,0.5,8,18,4,9,8,0,6,0
26,5,1,3,0.06,1,0.33,17,1,38,30.09,43.27,56334.14,277,3129.67,1302.02,2,16,0.04,118,159,15,11,83,30.91,48,1
6,5,4,3,0.25,1,0.33,11,1,12,19.34,11.67,2632.25,48,146.24,225.62,2,10,0.09,20,28,12,14,33,52,12,0
1,5,2,3,0.23,2,0.67,9,3,13,20.14,10.5,2220.96,45,123.39,211.52,2,8,0.19,18,27,12,14,16,0,13,0
12,5,2,3,0.27,1,0.33,11,1,11,27.67,6.54,1183.09,40,65.73,180.94,2,10,0.08,17,23,13,10,37,54.17,11,0
2,143,8,72,1.26,71,0.99,221,70,57,94.78,31.27,92697.93,482,5149.89,2964.18,0,151,1.18,215,267,55,16,61,0,57,0
15,33,12,1,0.01,1,1,79,1,92,74.33,35.24,92334.31,426,5129.68,2619.79,16,64,0.01,157,269,49,22,160,35.66,94,0
3,1,1,1,0.33,1,1,2,1,3,8.72,4,139.48,11,7.75,34.87,0,3,0.1,4,7,3,6,10,40,3,0
53,27,2,14,0.17,8,0.57,55,8,72,42.52,62.4,165551.69,451,9197.32,2653.07,13,43,0.09,182,269,35,24,161,32.08,84,0
2,23,0,12,0.27,1,0.08,48,6,39,31.07,35.11,38303.42,205,2127.97,1091,11,38,0.22,95,110,23,17,55,13.33,45,0
1,5,1,3,0.38,2,0.67,9,1,8,8.27,16.8,2334.76,34,129.71,138.97,0,8,0.25,14,20,5,12,12,0,8,0
30,21,7,11,0.22,5,0.45,49,7,42,37.79,30,34007.12,213,1889.28,1133.57,10,40,0.1,90,123,24,16,111,46.15,51,0
8,1,4,1,0.17,1,1,5,1,5,22.5,2,90,15,5,45,0,6,0.05,4,11,4,4,20,50,6,1
0,5,1,3,1,1,0.33,11,1,0,0,0,0,0,0,0,0,10,0.23,0,0,0,0,13,0,0,0
4,1,0,1,0.13,1,1,1,1,8,18.58,11,2247.77,57,124.88,204.34,0,2,0.07,22,35,6,6,14,0,8,0
3,37,3,19,0.53,6,0.32,68,11,36,29.61,43.85,56916.12,230,3162.01,1298.09,0,51,0.48,95,135,26,24,40,0,36,0
20,5,11,3,0.14,2,0.67,20,1,18,39.64,11,4795.88,85,266.44,435.99,2,19,0.06,33,52,21,14,54,43.75,22,1
40,11,2,6,0.12,5,0.83,23,6,42,33.65,30.68,31677.57,194,1759.86,1032.45,5,19,0.05,75,119,22,18,120,46.84,52,0
4,3,1,2,0.17,1,0.5,6,1,11,25.6,6.54,1094.35,37,60.8,167.37,1,6,0.11,17,20,13,10,18,8.33,12,0
8,1,0,1,0.05,1,1,1,1,18,17.87,28.58,14596.38,138,810.91,510.66,0,2,0.03,49,89,6,7,33,21.74,22,1
0,1,3,1,0.17,1,1,4,1,6,15.36,4.2,271.02,18,15.06,64.53,0,5,0.13,6,12,5,7,8,0,6,0
5,1,2,1,0.25,1,1,3,1,4,18.49,3.5,226.54,17,12.59,64.73,0,4,0.05,7,10,7,7,20,69.23,4,0
18,9,2,5,0.17,2,0.4,19,1,25,20.05,21.25,9053.79,86,502.99,426.06,4,16,0.09,35,51,14,17,58,34.21,30,1
10,3,1,2,0.1,1,0.5,8,1,19,22.99,23.11,12280.56,130,682.25,531.37,1,8,0.04,52,78,9,8,45,44.12,21,0
3,3,0,2,0.29,1,0.5,6,1,7,12.33,7.2,639.44,24,35.52,88.81,1,6,0.17,9,15,5,8,12,0,7,0
1,5,2,3,0.5,2,0.67,11,1,6,17.34,8.25,1180.25,35,65.57,143.06,0,10,0.23,9,26,6,11,13,0,6,0
9,1,3,1,0.1,1,1,4,1,10,19.88,11.11,2454.36,52,136.35,220.89,0,5,0.04,20,32,9,10,26,33.33,10,0
31,25,5,14,0.15,12,0.86,54,12,85,37.11,40.91,62115.21,269,3450.85,1518.2,0,42,0.07,113,156,29,21,204,50.29,94,0
2,1,0,1,0.05,1,1,1,1,21,27.02,35.67,34375.18,223,1909.73,963.79,0,2,0.04,107,116,12,8,28,8.7,21,0
0,20,6,13,0.36,6,0.46,40,12,36,34.83,19,12571.87,129,698.44,661.68,0,29,0.34,32,97,16,19,38,0,36,0
3,7,2,4,0.24,2,0.5,15,3,17,17.85,11.82,2492.55,46,138.48,210.91,0,13,0.14,20,26,11,13,29,32,17,0
6,6,2,5,0.19,5,1,13,1,23,27.77,18.5,9505.92,101,528.11,513.83,0,10,0.11,37,64,17,17,45,37.84,27,0
6,3,0,2,0.4,1,0.5,6,1,5,8.86,6,318.91,16,17.72,53.15,1,6,0.09,8,8,4,6,22,66.67,5,0
2,9,3,5,0.5,4,0.8,21,1,10,19.67,13.36,3508.99,63,194.94,262.71,0,18,0.28,17,46,7,11,18,0,10,0
2,5,2,3,0.5,2,0.67,11,1,6,18.13,7.5,1020,34,56.67,136,2,10,0.21,9,25,6,10,14,0,6,0
2,7,2,4,0.44,2,0.5,13,1,9,15.82,14.3,3234.35,50,179.69,226.18,0,11,0.31,22,28,10,13,13,0,9,0
13,5,0,3,0.25,1,0.33,9,1,6,16.21,11,1962.54,42,109.03,178.41,2,8,0.04,16,26,8,11,69,88.89,12,0
3,9,5,5,0.45,4,0.8,21,3,11,17.98,17.82,5709.41,69,317.19,320.43,0,18,0.33,28,41,11,14,15,0,11,0
1,7,1,4,0.31,1,0.25,17,1,13,19.87,20.53,8379.04,84,465.5,408.07,3,15,0.21,44,40,15,14,19,0,13,0
0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0.13,0,1,0,1,8,83.33,1,0
1,1,1,1,0.5,1,1,2,1,2,9.83,2,39.3,7,2.18,19.65,0,3,0.13,3,4,3,4,8,60,2,0
6,5,3,3,0.19,3,1,13,1,16,35.26,7.71,2098.48,61,116.58,272.03,2,12,0.13,27,34,14,8,24,0,16,0
1,36,2,21,0.42,6,0.29,77,9,49,29.75,68.5,139594.59,345,7755.26,2037.88,0,58,0.4,137,208,30,30,52,2,50,0
2,1,3,1,0.07,1,1,10,1,14,41.04,6.42,1689.97,62,93.89,263.37,0,11,0.04,22,40,12,7,24,30,14,0
3,1,1,1,0.33,1,1,2,1,3,8.72,4,139.48,11,7.75,34.87,0,3,0.1,4,7,3,6,10,40,3,0
4,5,3,3,0.19,3,1,12,1,15,24.04,10.4,2599.82,52,144.43,249.98,2,11,0.13,24,28,15,13,24,16.67,16,1
1,9,2,5,0.42,4,0.8,21,1,12,17.51,14.17,3513.33,62,195.19,248,0,18,0.33,17,45,6,10,15,0,12,0
0,1,1,1,0.5,1,1,2,1,2,9.83,2,39.3,7,2.18,19.65,0,3,0.25,3,4,3,4,4,0,2,0
7,5,2,3,0.18,3,1,12,1,16,17.66,17.5,5408.68,65,300.48,309.07,2,11,0.11,28,37,12,15,28,15.79,17,1
6,7,3,4,0.57,4,1,13,1,4,16.02,5.4,467.02,25,25.95,86.49,3,11,0.2,9,16,5,6,20,66.67,7,0
19,17,10,9,0.19,6,0.67,36,1,33,53.47,15.83,13404.4,157,744.69,846.59,8,29,0.12,57,100,27,15,78,42.11,47,1
10,3,1,2,0.08,1,0.5,7,1,26,33.15,19,11967.32,134,664.85,629.86,1,7,0.05,38,96,13,13,43,16.12,26,0
1,5,3,3,0.3,2,0.67,10,3,10,22.3,11,2698.79,50,149.93,245.34,0,9,0.25,22,28,15,15,12,0,10,0
7,1,1,1,0.1,1,1,2,1,10,21.06,8.36,1470.86,44,81.71,176,0,3,0.05,13,31,7,9,20,9.09,10,0
1,19,5,10,0.48,9,0.9,46,1,21,26.8,22.8,13929.48,137,773.86,610.94,0,38,0.36,38,99,10,12,28,0,21,0
2,1,0,1,0.25,1,1,1,1,4,16.45,5.71,537.21,23,29.84,94.01,0,2,0.1,8,15,7,10,10,33.33,4,0
6,16,5,10,0.34,5,0.5,33,10,29,29.94,20.84,13005.9,115,722.55,624.02,5,25,0.24,33,82,19,24,42,3.33,29,0
1,3,1,2,0.29,1,0.5,7,1,7,13.2,6.67,586.67,22,32.59,88,1,7,0.2,8,14,6,10,10,0,7,0
3,7,2,4,0.21,2,0.5,11,4,2,21.96,14,4304.47,70,239.14,307.46,3,9,0.16,21,49,9,12,25,90,19,1
11,9,3,5,0.42,1,0.2,21,1,12,33.86,11.67,4608.33,79,256.01,395,4,18,0.19,30,49,18,14,26,7.69,12,0
10,1,9,1,0.06,1,1,17,1,18,71.72,5.25,1976.72,76,109.82,376.52,0,18,0.02,36,40,24,7,52,55,18,0
0,5,4,3,0.25,3,1,14,1,12,15.41,8.17,1027.49,34,57.08,125.81,0,13,0.21,14,20,6,7,14,0,12,0
13,11,1,6,0.21,2,0.33,23,1,25,22.29,37.23,30894.1,181,1716.34,829.88,5,19,0.12,63,118,11,13,52,32.43,29,0
3,7,2,4,0.31,3,0.75,14,1,13,13.35,29.59,11688.41,79,649.36,395,0,12,0.24,31,48,11,21,17,0,13,0
17,9,8,5,0.18,5,1,22,1,22,41.03,12.75,6670.63,102,370.59,523.19,4,19,0.09,34,68,20,15,58,43.59,28,1
4,5,2,3,0.18,3,1,13,1,16,14.41,16.5,3922.15,55,217.9,237.71,2,12,0.12,22,33,8,12,25,15.79,17,0
0,39,1,24,1,8,0.33,76,1,0,0,0,0,0,0,0,0,54,0.18,0,0,0,0,131,0,0,0
0,1,1,1,0.33,1,1,3,1,3,11.63,2,46.53,9,2.58,23.26,0,4,0.2,4,5,3,3,5,0,3,0
1,1,0,1,0.25,1,1,1,1,4,10.81,8.1,709.31,23,39.41,87.57,0,2,0.14,9,14,5,9,7,0,4,0
0,13,0,7,1,1,0.14,21,6,0,0,0,0,0,0,0,0,16,0.7,0,0,0,0,10,0,0,0
1,5,2,3,0.43,2,0.67,11,1,7,20.26,8.64,1513.68,42,84.09,175.14,0,10,0.21,11,31,7,11,14,0,7,0
0,7,2,4,1,3,0.75,14,3,0,0,0,0,0,0,0,0,12,0.4,0,0,0,0,10,0,0,0
15,5,5,3,0.12,3,1,17,1,21,50.5,9.52,4580.38,99,254.47,480.94,2,16,0.06,50,49,21,8,50,32.25,25,0
1,5,2,3,0.6,3,1,9,1,5,17.03,4,272.46,19,15.14,68.11,0,8,0.38,8,11,6,6,8,0,5,0
0,1,0,1,1,1,1,1,1,0,5.8,2,23.22,5,1.29,11.61,0,2,1,1,4,1,4,1,0,0,0
4,11,3,6,0.5,3,0.5,22,6,12,17.88,18.4,6054.17,70,336.34,329.03,5,18,0.27,23,47,10,16,22,0,12,0
0,6,1,5,0.26,5,1,12,1,19,27.89,9.5,2517.23,54,139.85,264.97,0,9,0.25,19,35,15,15,20,0,19,0
2,11,3,6,0.25,4,0.67,19,6,23,27.33,14.93,6093.85,84,338.55,408.07,0,15,0.22,32,52,15,14,27,4.17,24,0
0,3,0,2,0.5,1,0.5,5,1,4,10.75,4,172.08,12,9.56,43.02,1,5,0.33,4,8,4,8,6,0,4,0
4,9,4,5,0.5,4,0.8,21,1,10,22.9,11.69,3127.8,63,173.77,267.62,4,18,0.25,17,46,8,11,20,0,10,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
2,9,3,5,0.24,5,1,21,1,21,23.75,14.93,5295.85,73,294.21,354.63,0,18,0.2,32,41,15,14,25,0,21,0
3,1,1,1,0.33,1,1,2,1,3,8.72,4,139.48,11,7.75,34.87,0,3,0.1,4,7,3,6,10,40,3,0
1,1,1,1,0.1,1,1,2,1,10,15.9,6.43,656.91,25,36.5,102.19,0,3,0.08,9,16,7,10,12,0,10,0
9,1,4,1,0.13,1,1,5,1,8,36.53,4.36,695.61,39,38.65,159.41,0,6,0.04,16,23,11,6,23,33.33,8,0
24,31,6,16,0.18,4,0.25,62,4,64,40.24,43.62,76555.91,316,4253.11,1755.25,15,48,0.12,108,208,26,21,137,42.34,89,1
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
8,6,1,5,0.25,1,0.2,12,1,18,26.73,9.21,2266.4,53,125.91,246.12,0,9,0.17,17,36,12,13,30,10,20,1
77,33,6,17,0.21,4,0.24,66,14,58,39.18,47.64,88914.45,320,4939.69,1866.52,16,51,0.08,131,189,33,24,218,56.39,81,0
1,3,1,2,0.5,1,0.5,6,1,4,15.63,5,390.69,20,21.7,78.14,0,6,0.18,5,15,5,10,11,0,4,0
3,9,0,6,0.27,1,0.17,18,1,22,16.82,29.19,14337.59,95,796.53,491.14,0,14,0.22,33,62,13,23,27,4.35,22,0
12,15,0,8,0.21,1,0.13,30,5,36,42.42,18.67,14780.96,152,821.16,791.84,0,24,0.12,49,103,21,16,65,29.41,39,0
0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,0
2,1,0,1,0.17,1,1,1,1,6,22.42,4,358.77,27,19.93,89.69,0,2,0.1,8,19,5,5,10,0,6,0
0,3,1,2,0.4,2,1,6,1,5,15.5,4.67,337.59,19,18.75,72.34,0,6,0.33,7,12,6,8,6,0,5,0
0,9,0,8,1,1,0.13,17,1,0,0,0,0,0,0,0,0,11,0.13,0,0,0,0,63,0,0,0
15,5,3,3,0.17,2,0.67,13,1,15,31.26,14.91,6951.19,95,386.18,466.15,2,12,0.05,39,56,17,13,55,61.54,18,0
0,3,0,2,0.33,1,0.5,6,1,6,5.05,13.5,919.54,19,51.09,68.11,0,6,0.25,9,10,3,9,8,14.29,6,0
3,1,1,1,0.05,1,1,21,1,21,98.33,6.82,4571.18,141,253.95,670.44,0,22,0.03,60,81,22,5,32,22.22,21,0
4,1,1,1,0.05,1,1,2,1,19,40.08,13.5,7303.85,118,405.77,541.03,0,3,0.04,45,73,15,9,25,0,19,0
0,21,2,11,1,3,0.27,39,5,0,0,0,0,0,0,0,0,30,0.31,0,0,0,0,35,0,0,0
1,19,7,10,0.48,5,0.5,39,7,20,31.72,17.63,9853.99,109,547.44,559.09,0,31,0.43,47,62,20,15,23,4.76,21,0
1,1,1,1,0.2,1,1,2,1,5,15.86,3.5,194.27,15,10.79,55.51,0,3,0.13,6,9,6,7,8,0,5,0
5,5,1,3,0.1,1,0.33,11,1,27,31.25,16,7999.44,104,444.41,499.96,2,10,0.08,32,72,14,14,38,12.9,29,1
2,3,0,2,0.13,1,0.5,5,1,16,27.24,11.46,3576.44,69,198.69,312.13,0,5,0.11,25,44,12,11,19,0,16,0
2,40,11,26,0.39,13,0.5,80,26,67,44.63,34.32,52562.96,270,2920.16,1531.55,0,56,0.34,66,204,25,26,76,1.47,67,0
1,7,3,4,0.36,3,0.75,16,1,11,25.52,11.7,3493.09,66,194.06,298.56,0,14,0.22,18,48,10,13,18,0,11,0
0,15,1,8,1,2,0.25,32,4,0,0,0,0,0,0,0,0,26,0.3,0,0,0,0,27,0,0,0
7,5,4,3,0.3,3,1,13,1,9,46.31,7.38,2523.1,69,140.17,341.84,2,12,0.05,31,38,21,10,60,82.35,10,0
3,7,2,4,0.17,3,0.75,13,1,20,21.57,20.4,8976,88,498.67,440,3,11,0.13,36,52,15,17,32,25.93,24,0
0,1,0,1,0.1,1,1,1,1,10,16.71,33.75,19031.2,163,1057.29,563.89,0,2,0.07,81,82,6,5,15,0,10,0
3,9,4,5,0.45,3,0.6,18,4,11,17.34,11.9,2455.25,45,136.4,206.32,5,15,0.29,17,28,10,14,17,8.33,11,0
89,35,5,18,0.17,4,0.22,78,10,79,40.65,58.45,138851.46,399,7713.97,2375.72,17,62,0.08,173,226,37,25,238,46.62,104,0
9,11,3,6,0.29,4,0.67,24,6,18,19.55,75.6,111737.37,293,6207.63,1478.01,5,20,0.14,126,167,15,18,44,41.94,21,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
0,1,2,1,0.25,1,1,3,1,4,15.03,6.4,615.75,26,34.21,96.21,0,4,0.14,8,18,5,8,7,20,4,0
6,5,3,3,0.16,3,1,15,1,19,30.83,18.75,10839.37,119,602.19,578.1,2,14,0.11,35,84,14,15,28,0,19,0
5,5,3,3,0.2,3,1,11,1,13,26.41,6,950.74,38,52.82,158.46,2,10,0.13,12,26,9,9,23,18.75,15,0
0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,3,0.08,0,0,0,0,12,0,0,0
2,11,3,6,0.29,3,0.5,21,3,21,18.85,20.3,7766.26,74,431.46,382.57,5,17,0.24,29,45,15,21,25,0,21,0
0,5,0,3,0.3,1,0.33,8,3,10,13.31,10.56,1484.6,32,82.48,140.55,2,7,0.25,13,19,8,13,12,0,10,0
1,5,1,3,0.3,2,0.67,9,1,10,10.13,14,1984.88,34,110.27,141.78,0,8,0.23,14,20,6,12,13,9.09,10,0
1,5,2,3,0.5,2,0.67,11,1,6,17.34,8.25,1180.25,35,65.57,143.06,0,10,0.23,9,26,6,11,13,0,6,0
6,3,0,2,0.18,1,0.5,7,1,11,12.55,14,2459.28,49,136.63,175.66,1,7,0.1,20,29,5,7,20,8.33,11,0
9,11,2,6,0.29,1,0.17,23,1,21,15.38,23.25,8313.66,77,461.87,357.58,6,19,0.17,31,46,10,15,35,12.5,21,0
0,1,1,1,0.17,1,1,2,1,6,15.86,3.5,194.27,15,10.79,55.51,0,3,0.13,6,9,6,7,8,0,6,0
0,3,0,2,0.4,1,0.5,6,1,5,10.24,9.1,848.2,26,47.12,93.21,1,6,0.22,13,13,5,7,9,0,5,0
38,19,1,17,0.12,2,0.12,39,1,134,43.8,87.5,335371.38,598,18631.74,3832.82,1,24,0.09,250,348,50,35,190,10.67,141,0
0,1,0,1,1,1,1,1,1,0,0,0,0,2,0,2,0,2,1,0,2,0,2,1,0,0,0
23,9,4,5,0.12,5,1,24,1,36,30.9,39.09,47217.09,224,2623.17,1207.88,4,21,0.06,86,138,22,20,77,30.77,41,1
1,9,3,5,0.33,4,0.8,21,1,15,30.32,11.33,3894.84,67,216.38,343.66,0,18,0.29,34,33,21,14,17,0,15,0
2,5,3,3,0.25,3,1,10,1,12,18.35,8.33,1274.38,36,70.8,152.93,0,9,0.2,15,21,9,10,15,0,12,0
1,1,0,1,0.11,1,1,1,1,9,13.9,10,1389.74,34,77.21,138.97,0,2,0.08,14,20,7,10,12,10,9,0
32,29,9,15,0.14,5,0.33,70,3,65,59.92,43.25,112076.69,420,6226.48,2591.37,14,57,0.09,173,247,48,24,164,49.22,110,0
10,4,4,3,0.16,3,1,10,1,18,22.82,13.13,3931.7,63,218.43,299.56,0,9,0.09,21,42,12,15,33,14.29,19,0
6,37,2,19,0.23,2,0.11,63,18,75,38,40.44,62131.34,267,3451.74,1536.55,18,46,0.2,109,158,31,23,93,11.76,81,0
1,3,0,2,0.17,1,0.5,5,1,12,46.75,20.39,19439.64,183,1079.98,953.33,0,5,0.09,67,116,23,14,22,36.84,12,0
1,3,0,2,0.4,1,0.5,6,1,5,15.23,5,380.74,20,21.15,76.15,1,6,0.25,10,10,7,7,8,0,5,0
0,46,19,29,1,26,0.9,96,5,0,0,0,0,0,0,0,24,69,0.16,0,0,0,0,176,0,0,0
35,75,12,38,0.26,15,0.39,126,32,143,57.76,57.9,193623.35,542,10756.85,3344.1,37,90,0.15,193,349,45,27,247,31.9,146,0
1,1,2,1,0.17,1,1,4,1,6,19.41,7.22,1012.42,33,56.25,140.18,0,5,0.11,13,20,9,10,9,0,6,0
5,33,2,17,0.27,7,0.41,69,9,55,34.37,67.83,158152.05,409,8786.22,2331.48,16,54,0.23,185,224,30,22,75,19.12,62,0
50,9,1,5,0.03,1,0.2,27,1,155,132.94,61.45,501990.12,1235,27888.34,8169.17,4,24,0.02,511,724,79,19,262,26.19,192,1
1,3,2,2,0.4,2,1,8,1,5,11.58,6.75,527.43,20,29.3,78.14,0,8,0.29,9,11,6,9,7,0,5,0
3,5,0,3,0.25,1,0.33,9,1,11,14.12,11,1708.56,38,94.92,155.32,2,8,0.14,12,26,6,11,22,8.33,12,1
11,5,6,1,0.03,1,1,24,1,30,63.11,17,18239.92,203,1013.33,1072.94,2,23,0.01,68,135,26,13,70,47.37,30,0
7,1,4,1,0.13,1,1,5,1,6,24.18,4.29,444.05,28,24.67,103.61,0,6,0.06,10,18,7,6,17,25,8,0
6,17,1,9,0.31,2,0.22,25,7,28,13.48,33,14676.46,97,815.36,444.74,8,18,0.21,33,64,8,16,43,20,29,1
11,1,7,1,0.08,1,1,11,1,12,61.38,3.63,809.5,48,44.97,222.91,0,12,0.02,23,25,19,6,43,60,12,0
3,13,4,7,0.26,7,1,27,6,23,25.34,18.21,8406.04,95,467,461.51,0,22,0.23,34,61,14,15,31,14.81,27,0
5,5,0,3,0.18,1,0.33,12,1,8,27.73,19.25,10275.27,118,570.85,533.78,2,11,0.12,42,76,12,11,25,55.56,17,1
29,39,1,20,0.32,2,0.1,67,13,55,24.94,77.43,149562.2,344,8309.01,1931.46,19,49,0.17,137,207,23,26,121,38.89,62,0
3,9,3,5,0.19,3,0.6,21,3,23,24.91,18.53,8553.83,90,475.21,461.64,4,18,0.14,35,55,17,18,36,20.69,27,0
12,187,1,94,8.55,1,0.01,330,1,10,382.67,13,64670.9,1085,3592.83,4974.68,93,238,2.29,22,1063,11,13,41,64.29,11,0
4,5,2,3,0.25,3,1,10,1,12,18.58,9.6,1712.42,40,95.13,178.38,2,9,0.17,16,24,10,12,18,0,12,0
6,3,0,2,0.18,1,0.5,6,1,11,14.74,11.67,2006.67,43,111.48,172,1,6,0.1,14,29,6,10,21,15.38,11,0
9,3,2,2,0.2,2,1,9,1,10,18.25,9,1478.1,38,82.12,164.23,1,9,0.07,12,26,8,12,27,37.5,10,0
22,17,2,10,0.26,2,0.2,32,1,35,23.31,30.11,21129.06,131,1173.84,701.84,6,24,0.14,52,79,19,22,69,22.22,39,0
22,21,9,11,0.12,9,0.82,55,1,51,63.24,30.76,59840.57,328,3324.48,1945.28,10,46,0.09,136,192,42,19,128,49.5,89,1
19,9,4,5,0.11,5,1,23,1,44,42.42,33.07,46402.42,254,2577.91,1402.98,4,20,0.07,94,160,27,19,72,13.73,46,0
1,5,2,3,0.5,2,0.67,11,1,6,17.34,8.25,1180.25,35,65.57,143.06,0,10,0.23,9,26,6,11,13,0,6,0
20,15,4,8,0.32,5,0.63,24,6,20,19.8,28.5,16082.33,115,893.46,564.29,7,18,0.13,38,77,12,18,60,48.72,25,0
4,5,2,3,0.21,3,1,10,1,14,23.96,9.69,2250.48,50,125.03,232.19,2,9,0.15,21,29,13,12,20,0,14,0
1,1,1,1,0.5,1,1,2,1,2,7.75,2,31.02,6,1.72,15.51,0,3,0.2,2,4,2,4,5,0,2,0
16,11,4,6,0.23,1,0.17,26,1,26,35.17,22.8,18281.28,146,1015.63,801.81,5,22,0.1,57,89,25,20,58,35,26,0
0,3,1,2,1,1,0.5,6,1,2,9.49,3.5,116.27,10,6.46,33.22,2,6,0.5,3,7,3,7,4,0,2,0
13,5,1,3,0.09,1,0.33,19,1,35,31.11,23.57,17284.19,156,960.23,733.27,2,18,0.05,55,101,14,12,62,25.53,35,0
1,3,1,2,1,2,1,6,1,2,7.66,18.67,2670.48,35,148.36,143.06,0,6,0.4,8,27,3,14,5,0,2,0
2,3,1,2,0.33,2,1,5,1,5,16.5,4.5,334.04,19,18.56,74.23,1,5,0.2,6,13,6,9,10,16.67,6,1
1,1,0,1,0.25,1,1,1,1,4,8.13,2,32.5,7,1.81,16.25,0,2,0.14,1,6,1,4,7,0,4,0
6,1,2,1,0.1,1,1,3,1,8,22.75,9.92,2237.41,48,124.3,225.62,0,4,0.03,17,31,12,14,32,66.67,10,0
27,5,1,3,0.09,3,1,31,1,30,51.95,30.8,49286.33,323,2738.13,1600.21,2,30,0.03,112,211,20,11,89,50,35,1
1,3,0,2,0.17,1,0.5,6,1,11,10.7,9,867.02,29,48.17,96.34,0,6,0.14,12,17,4,6,14,8.33,12,0
20,15,7,9,0.2,7,0.78,30,5,40,43.12,18.55,14836.51,141,824.25,799.81,4,23,0.13,53,88,30,21,72,20,44,0
3,1,2,1,0.2,1,1,3,1,5,10.79,7.2,559.51,21,31.08,77.71,0,4,0.08,9,12,5,8,13,37.5,5,0
0,1,2,1,0.2,1,1,5,1,5,20.77,8.25,1413.48,45,78.53,171.33,0,6,0.11,22,23,8,6,9,0,5,0
1,3,0,2,0.5,1,0.5,6,1,4,11.83,9.33,1030.52,29,57.25,110.41,1,6,0.29,14,15,6,8,7,0,4,0
4,1,1,1,0.17,1,1,2,1,5,16.3,4.08,271.98,18,15.11,66.61,0,3,0.08,7,11,6,7,12,16.67,6,1
17,7,4,4,0.15,3,0.75,20,1,23,18.2,36.93,24819.33,130,1378.85,672.09,3,18,0.07,47,83,14,22,57,39.47,27,1
2,3,0,2,0.25,1,0.5,6,1,7,9.09,11,1100,25,61.11,100,1,6,0.17,10,15,5,11,12,12.5,8,0
8,3,0,2,0.13,1,0.5,7,1,15,12.49,28.7,10288.84,100,571.6,358.5,1,7,0.08,41,59,5,7,25,0,15,0
2,1,0,1,0.06,1,1,1,1,5,61.05,10,6105.34,127,339.19,610.53,0,2,0.05,50,77,20,8,22,72.22,18,0
3,7,2,4,0.31,2,0.5,16,1,12,16.48,18.75,5795.02,65,321.95,309.07,3,14,0.2,30,35,12,15,20,20,13,0
1,1,0,1,0.05,1,1,1,1,19,10.42,45,21097.27,167,1172.07,468.83,0,2,0.05,36,131,2,5,22,0,19,0
