BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,DECISION_COUNT,DESIGN_DENSITY,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
17,9,14,0.56,42,37,58.47,12.71,9443.41,131,524.63,743.09,16,35,61,70,36,15,52,11.9,37,0
8,6,2,0.33,20,21,28.09,21.86,13420.45,117,745.58,614.01,2,16,54,63,21,17,28,12.5,21,0
7,4,4,1,31,28,97.47,5.66,3119.36,101,173.3,551.4,4,29,44,57,35,9,41,15.15,28,0
5,3,4,1,17,26,56.24,6.87,2658.2,76,147.68,386.65,4,16,33,43,24,10,31,7.14,26,0
7,5,2,0.4,16,22,27.67,17.58,8545.97,92,474.78,486.26,2,13,37,55,20,19,27,0,22,0
9,5,6,0.4,18,16,16.51,22.88,8646.51,77,480.36,377.83,7,15,35,42,13,17,29,33.33,16,0
7,4,6,0.75,15,12,25.93,5.5,784.43,33,43.58,142.62,6,13,11,22,10,10,15,0,12,0
37,26,18,1,94,77,79.98,26.99,58239.35,327,3235.52,2158.17,19,70,133,194,69,28,118,16.3,77,1
9,5,8,0.6,19,19,16.09,18.42,5457.54,61,303.2,296.34,9,16,26,35,12,17,29,20.83,19,0
5,3,2,0.67,8,5,6.37,9,516.23,16,28.68,57.36,3,7,6,10,3,9,13,50,5,0
17,9,16,0.56,40,35,55.05,13.19,9577.07,133,532.06,726.1,16,33,51,82,29,15,54,22.22,35,0
11,6,10,0.83,27,28,43.07,17.52,13214.36,133,734.13,754.43,11,23,59,74,32,19,54,36.36,28,0
25,14,18,0.86,77,63,81.53,17.98,26360.63,240,1464.48,1466.05,19,65,110,130,52,17,107,22.22,63,1
15,8,14,0.25,32,43,72.3,5.69,2338.69,83,129.93,411.2,14,26,39,44,24,7,54,4.44,43,0
5,3,4,1,15,16,22.71,10.68,2589.55,51,143.86,242.5,4,14,23,28,14,13,22,11.11,16,0
7,4,4,1,30,28,101.03,5.96,3588,109,199.33,602.07,4,28,49,60,37,9,38,9.68,28,1
10,8,2,1,23,61,36.89,28.34,29630.1,164,1646.12,1045.51,2,17,74,90,47,36,93,25.61,61,1
5,3,6,1,19,26,63.77,9.82,6146.88,114,341.49,626.07,6,18,54,60,33,12,44,21.21,26,0
25,13,18,0.46,47,39,54.51,25,34070.5,228,1892.81,1362.82,21,36,100,128,42,21,55,18.75,39,0
