LOC_BLANK,BRANCH_COUNT,CONDITION_COUNT,DECISION_COUNT,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,7,8,2,11,15,22.03,12,3172.85,55,176.27,264.4,4,9,18,37,12,16,18,6.25,16,0
115,31,60,30,67,49,83.81,31.06,80843.05,399,4491.28,2602.9,30,53,176,223,68,24,212,48.96,84,0
40,11,20,10,40,41,61.64,16.96,17733.62,177,985.2,1045.52,10,36,63,114,39,21,132,54.95,44,0
27,24,34,14,53,76,60.5,32.21,62767.66,298,3487.09,1948.67,19,42,102,196,57,36,155,40.16,79,0
5,5,8,4,10,20,34.17,10.29,3620.93,71,201.16,351.75,4,9,25,46,17,14,26,0,20,0
4,13,24,12,47,42,160.8,10.16,16586.02,263,921.45,1633.09,12,42,130,133,64,10,48,2.33,43,0
12,5,8,4,10,14,15.83,13.82,3022.38,46,167.91,218.72,4,9,19,27,11,16,34,33.33,17,0
40,5,8,4,16,28,44.75,18.67,15592.09,148,866.23,835.29,4,15,56,92,30,20,82,31.71,30,1
30,19,36,18,48,71,46.15,27.11,33930.43,211,1885.02,1251.39,18,40,73,138,35,26,153,41.8,77,1
1,7,12,6,20,41,56.52,13.19,9840.36,129,546.69,745.8,6,18,50,79,36,19,68,22.64,41,1
13,3,4,2,6,18,25.62,24.42,15282.02,122,849,625.77,2,6,58,64,19,16,53,53.85,21,0
7,5,8,4,12,14,30.91,8.62,2294.05,56,127.45,266.27,4,11,16,40,13,14,34,46.15,18,0
11,11,20,10,26,27,48.56,33.51,54539.1,279,3029.95,1627.38,10,22,124,155,37,20,58,41.3,41,0
6,11,20,10,19,34,59.16,12.6,9398.15,135,522.12,745.68,10,15,43,92,29,17,49,19.05,34,0
2,3,4,2,9,18,32,11.63,4329.68,72,240.54,372.23,2,9,26,46,19,17,30,33.33,18,0
49,19,30,12,60,98,125.84,27.25,93428.15,486,5190.45,3428.87,15,52,172,314,101,32,211,39.13,104,0
0,11,14,4,18,27,38.41,13.45,6946.75,92,385.93,516.54,7,14,39,53,29,20,49,44.9,29,0
0,5,6,2,7,16,24.32,7.64,1418.49,40,78.8,185.75,3,6,12,28,11,14,22,23.81,16,0
10,5,8,4,18,16,45.77,7.71,2723.97,70,151.33,353.11,4,17,27,43,21,12,71,55.56,18,0
2,3,4,2,8,19,31.71,8.91,2515.03,57,139.72,282.39,2,8,19,38,16,15,25,13.64,19,0
0,5,8,4,11,27,54.96,8.31,3793.04,87,210.72,456.57,4,10,36,51,26,12,37,25,27,0
33,11,20,10,29,44,71.49,34.84,86774.3,380,4820.79,2490.74,10,25,135,245,62,32,124,51.11,62,0
14,9,16,8,21,24,27.08,39.72,42716.37,197,2373.13,1075.51,8,18,87,110,23,21,68,47.83,26,0
9,3,4,2,10,18,35.45,10.29,3750.81,70,208.38,364.66,2,10,27,43,21,16,40,40,18,0
31,7,12,6,33,43,84.37,19.2,31093.83,267,1727.43,1619.65,6,31,97,170,48,19,105,41.1,44,0
10,17,32,16,46,55,52.18,33.32,57931.89,292,3218.44,1738.63,16,39,113,179,39,23,138,36.78,67,0
0,3,4,2,6,15,42.88,6.87,2026.77,62,112.6,294.8,2,6,20,42,16,11,16,0,15,0
93,25,48,24,69,143,175.18,28.52,142535.33,695,7918.63,4996.93,24,58,290,405,122,24,305,32.22,154,1
0,5,6,2,8,9,9.14,10,913.77,24,50.76,91.38,3,7,8,16,4,10,10,0,9,0
5,3,4,2,5,11,19.8,6.11,739.53,28,41.08,121.01,2,5,10,18,9,11,19,15.38,11,0
10,5,8,4,10,22,39.66,11.08,4871.43,81,270.63,439.53,4,9,28,53,24,19,47,38.89,25,1
40,9,16,8,21,31,47.41,27.5,35852.6,231,1991.81,1303.73,8,18,70,161,28,22,89,35.42,33,0
5,8,4,2,17,29,29.49,24,16987.59,133,943.76,707.82,2,13,48,85,20,20,45,25.64,36,0
10,7,12,6,15,15,18.1,16.36,4845.73,63,269.21,296.13,6,13,24,39,11,15,44,54.55,21,0
21,13,22,10,24,31,26.31,23.5,14529.3,126,807.18,618.27,11,19,47,79,15,15,85,50.79,33,0
3,3,4,2,5,14,11.85,9,959.45,28,53.3,106.61,2,5,10,18,5,9,18,0,14,0
3,7,10,4,12,20,13.47,16,3447.89,47,191.55,215.49,5,10,16,31,8,16,24,0,20,0
3,9,16,8,33,49,102.23,12.09,14944.77,211,830.27,1236.03,8,30,76,135,44,14,63,16.95,55,1
33,5,8,4,14,16,28.18,15.16,6475.08,82,359.73,427.18,4,13,32,50,19,18,62,42.86,24,0
3,5,8,4,10,12,15.22,12,2191.93,43,121.77,182.66,4,9,14,29,7,12,16,0,12,0
155,71,122,58,148,196,127.7,71.54,653537.1,1177,36307.62,9135.35,61,113,454,723,165,52,536,48.42,210,1
1,3,4,2,16,17,54.5,9.27,4686.53,103,260.36,505.41,2,16,51,52,22,8,20,5.56,18,0
1,9,16,8,18,31,14.28,19.94,5674.43,67,315.25,284.61,8,15,29,38,8,11,38,13.89,32,0
5,9,16,8,24,25,27.4,20.16,11135.5,100,618.64,552.36,8,21,48,52,25,21,33,7.41,27,0
12,7,12,6,14,18,54.3,7.89,3382.91,80,187.94,428.6,6,12,34,46,28,13,35,18.18,20,0
5,5,8,4,9,20,10.03,14.67,2158.18,36,119.9,147.15,4,8,16,20,6,11,26,0,20,0
77,49,94,46,137,172,243.12,22.99,128457.87,750,7136.55,5588.41,47,114,252,498,148,27,343,30.65,192,0
0,5,8,4,12,21,34.57,10.93,4129.37,72,229.41,377.85,4,11,27,45,21,17,22,0,21,0
14,7,10,4,16,29,39.73,19.35,14882.34,133,826.8,768.92,5,14,50,83,31,24,95,46.3,33,0
55,7,12,6,19,21,51.3,7.64,2991.43,77,166.19,391.73,6,17,28,49,22,12,100,52.27,21,0
10,15,26,12,32,44,74.36,13.06,12685.78,159,704.77,971.26,13,26,64,95,49,20,88,42.86,46,1
1,9,16,8,20,32,27.2,13.24,4764.71,72,264.71,360,8,17,30,42,17,15,35,3.03,33,0
22,7,12,6,19,32,45.51,16.36,12184.85,130,676.94,744.63,6,17,54,76,33,20,95,55.56,41,0
3,3,8,4,5,9,24.08,7.22,1256.07,39,69.78,173.92,4,5,10,29,9,13,15,18.18,11,0
6,47,80,40,112,138,171.89,27.21,127275.78,625,7070.88,4677.38,40,89,250,375,147,32,204,29.95,139,0
4,3,4,2,6,10,15.9,9,1287.55,35,71.53,143.06,2,6,16,19,8,9,21,37.5,12,0
19,9,14,6,16,31,35.02,17.25,10420.79,110,578.93,604.1,7,13,33,77,22,23,69,36.73,34,0
2,7,12,6,14,24,20.18,16.36,5403.6,73,300.2,330.22,6,12,30,43,11,12,27,0,24,0
2,23,42,20,52,79,89.42,13.73,16858.82,201,936.6,1227.81,21,42,84,117,52,17,174,53.8,93,1
4,3,4,2,6,10,23.58,12.5,3685.04,62,204.72,294.8,2,6,20,42,12,15,19,28.57,14,0
16,5,8,4,15,15,36.19,7.18,1867.89,52,103.77,260,4,14,21,31,19,13,58,63.41,17,0
39,37,66,30,77,88,66.11,50.27,167072.98,496,9281.83,3323.42,33,60,207,289,70,34,185,39.31,94,0
10,37,64,32,95,149,171.78,29.58,150305.78,702,8350.32,5081.36,32,77,220,482,119,32,222,29.38,149,1
22,58,78,36,124,160,151.5,22.73,78244.98,488,4346.94,3442.98,39,94,163,325,104,29,228,21.95,172,0
5,3,4,2,5,9,13.64,17.06,3972.03,53,220.67,232.79,2,5,21,32,8,13,19,30.77,11,0
10,11,20,10,31,34,64.31,12,9260.02,146,514.45,771.67,10,27,54,92,27,12,49,10.53,38,0
11,9,16,8,24,42,66.6,18.54,22884.16,209,1271.34,1234.54,8,21,80,129,41,19,58,8.7,42,0
25,25,42,18,59,70,80.81,26.6,57176.91,343,3176.49,2149.51,23,48,133,210,55,22,117,23.08,76,0
8,5,8,4,10,20,31.51,10.5,3474.19,64,193.01,330.88,4,9,21,43,18,18,50,51.22,22,1
4,3,4,2,7,10,23.14,6.5,977.69,32,54.32,150.41,2,7,13,19,13,13,28,56.52,11,1
5,3,4,2,13,30,58.05,14.68,12512.17,151,695.12,852.22,2,13,57,94,33,17,42,16.67,30,0
5,5,8,4,16,13,25.58,13.2,4456.28,71,247.57,337.6,4,15,33,38,15,12,23,23.53,17,0
4,9,16,8,19,20,13.75,21,6065.91,63,336.99,288.85,8,16,21,42,8,16,25,0,20,0
53,57,112,56,162,130,91.32,55.88,285170.84,729,15842.82,5103,56,135,309,420,94,34,259,30.85,175,0
4,5,8,4,10,17,34.27,2.78,264.4,25,14.69,95.18,4,9,10,15,9,5,26,19.05,21,0
7,7,12,6,14,21,46.9,10.5,5170.32,96,287.24,492.41,6,12,28,68,20,15,39,32.25,24,0
21,31,34,16,72,125,77.8,40.25,126046.47,438,7002.58,3131.59,17,56,168,270,96,46,254,33.51,138,0
6,5,8,4,15,21,40.4,11.25,5113.63,86,284.09,454.54,4,14,36,50,24,15,34,22.22,21,0
22,5,16,8,12,32,58.73,53.2,166215.79,538,9234.21,3124.36,8,11,266,272,40,16,71,33.33,35,0
9,9,12,4,13,22,35.13,12.55,5531.32,84,307.3,440.83,6,10,31,53,21,17,49,43.59,22,1
5,3,4,2,7,10,10.42,6.75,474.58,19,26.37,70.31,2,7,6,13,4,9,16,0,10,0
12,7,12,6,25,30,30.45,20.71,13065.14,122,725.84,630.73,6,23,58,64,21,15,49,16.67,33,0
6,15,20,10,38,57,45.05,29.27,38588.27,213,2143.79,1318.43,10,31,75,138,41,32,77,18.57,63,1
27,27,44,22,66,73,36.37,50.39,92350.98,299,5130.61,1832.66,22,53,113,186,37,33,105,5.19,76,0
3,11,16,6,18,24,19.97,17.33,5999.58,72,333.31,346.13,8,14,26,46,12,16,28,0,24,0
12,9,16,8,19,37,30.93,16,7919.03,93,439.95,494.94,8,16,32,61,20,20,80,44.78,39,0
4,3,4,2,6,14,12.74,7.86,786.33,24,43.68,100.08,2,6,10,14,7,11,20,6.67,14,0
5,3,4,2,21,23,56.67,6.13,2126.03,73,118.11,347.11,2,21,35,38,20,7,32,11.54,24,0
55,34,12,6,70,133,54.04,77.46,324260.81,605,18014.49,4185.91,6,42,220,385,71,50,283,41.41,136,1
3,3,4,2,7,9,17.13,10,1713,39,95.17,171.3,2,7,15,24,9,12,20,43.75,11,0
12,9,16,8,19,20,23.83,11.5,3151.22,57,175.07,274.02,8,16,23,34,14,14,35,9.09,21,0
