numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,CvsLogEntropy,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
13,22.151,18,9.73828,12,226,11,1,5,55,58,17,4.33,10,21,10,4.1,0,34,0,6,1
1,2.11271,8,0.059885,4,43,4,1,0,6,17,4,4.07,3,4,3,4.09,0,4,0,4,1
1,0,1,0,0,3,1,1,0,0,2,0,0,62,1,1,0,0,3,0,1,0
9,8.09514,62,9.44305,19,233,32,1,20,496,160,39,7.18,18,6,17,7.23,1.01,16,9,31,1
4,8.13229,8,9.27268,0,30,4,1,0,6,13,0,0,1,6,1,0,0,8,0,4,1
3,6.59724,29,0.163019,1,105,11,1,0,55,29,1,1.02,0,6,0,2.03,2.02,8,9,11,1
1,3.37801,2,9.16485,5,21,3,2,1,3,14,6,0,0,2,0,0,1.01,3,11,3,1
3,5.87331,42,9.21823,6,419,17,1,9,136,75,15,0,19,4,19,0,0,5,0,9,1
3,1.49003,15,0.121386,6,60,8,4,2,28,31,8,0,4,0,3,0,1.1,3,45,4,1
1,1.84703,4,9.09329,0,12,5,2,1,10,9,1,0,1,1,0,0,1.01,2,54,5,1
1,3.39209,7,9.15904,1,18,6,1,0,15,10,1,0,1,2,1,2.02,1.01,3,9,6,1
4,1.49003,14,0.121386,5,50,4,1,2,6,25,7,1.02,0,0,0,3.04,0,4,9,2,1
1,1.84703,2,9.09329,6,27,2,1,1,1,12,7,0,2,2,2,1.01,0,3,0,1,1
15,9.16586,61,9.45418,12,347,32,2,7,496,155,19,11.25,16,17,16,7.18,6.09,27,32,20,0
1,0,0,0,0,0,15,3,6,105,15,6,0,6,1,0,0,0,1,58,15,1
39,28.8338,89,10.0819,23,464,38,1,13,703,206,34,22.89,10,42,9,17.34,1.02,92,0,23,0
1,3.4091,6,9.16273,1,19,6,1,2,15,8,3,1.01,2,1,2,1.01,1.01,5,9,6,1
16,6.92707,92,9.38388,10,294,71,3,110,2485,124,120,4.37,28,17,26,8.43,3.19,24,101,67,1
3,5.24564,8,0.132501,4,122,4,1,0,6,31,4,2.26,2,7,2,3.07,2.02,12,9,2,1
7,13.7319,16,9.52571,13,117,9,1,11,36,49,23,7.31,11,18,9,12.17,3.48,24,0,6,1
0,0,8,0,0,38,6,1,0,15,13,0,0,4,0,3,0,0,1,0,2,1
0,0,12,0,7,64,7,1,2,21,33,9,0,1,0,1,0,0,1,0,5,1
3,5.96388,51,0.166755,6,219,24,1,3,276,112,9,2.04,4,0,4,0,2.02,3,22,17,1
5,13.8712,10,9.49066,2,111,9,1,0,36,24,2,2.04,5,7,5,2.02,0,17,0,7,1
5,2.38141,10,9.07779,11,51,2,1,0,1,29,11,1.01,0,0,0,1.01,0,5,0,1,0
4,6.12798,49,9.2369,12,191,34,1,10,561,51,22,2.06,17,4,17,6.06,2.04,6,18,34,1
1,0,23,0,16,101,11,2,0,55,44,16,0,3,1,3,0,0,1,31,10,0
1,3.22269,2,9.13881,1,14,2,1,1,1,8,2,0,6,1,0,0,2.02,4,9,2,1
2,3.10205,25,0.073931,4,246,20,1,5,190,59,9,0,10,3,10,1.01,0,3,0,11,1
3,1.49003,1,0.121386,1,75,1,1,1,0,8,2,0,2,0,2,0,0,4,9,1,0
5,11.1611,6,9.39617,2,18,4,2,0,6,8,2,1.01,0,7,0,1.01,2.02,11,17,0,1
0,0,0,0,0,0,1,1,3,0,1,3,0,0,0,0,0,0,1,9,1,1
0,1.84703,41,9.09329,6,186,21,1,8,210,69,14,0,11,1,11,2.02,1.01,2,9,18,1
8,17.8867,29,9.63416,12,90,5,1,0,10,38,12,9.17,2,16,2,6.06,2.02,26,9,4,1
4,2.38141,11,9.07779,3,58,7,1,4,21,29,7,0,3,0,3,1.01,0,4,0,7,1
11,11.7859,12,9.56773,6,105,8,2,2,28,42,8,4.18,2,10,2,6.06,7.13,22,32,6,0
2,3.13741,84,9.14037,3,156,28,1,1,378,76,4,0,14,3,14,2.03,2.04,4,18,28,1
6,11.1478,1,9.42658,0,3,1,3,0,0,1,0,1.08,0,9,0,1.06,4.06,12,29,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,8,0,1,0,0,1,0,1,1
5,4.17741,8,9.19476,10,41,4,1,5,6,23,15,1.03,1,5,1,3.04,0,7,0,4,1
5,9.23648,14,9.35788,1,45,12,1,9,66,14,10,0,10,5,5,7.09,2.04,8,18,12,1
1,0,124,0,13,565,13,1,1,78,172,14,0,3,1,0,0,0,1,0,3,1
7,12.804,64,9.46786,10,218,25,1,31,300,124,38,5.25,10,4,5,15.21,4.06,15,21,21,1
1,3.17351,1,9.13106,0,3,2,1,1,1,2,1,0,0,2,0,0,0,3,0,2,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,1.01,0,1,9,1,0
2,0,2,0,0,12,1,1,2,0,4,2,0,3,0,1,0,0,2,9,1,1
1,4.46389,1,9.17814,1,4,2,1,2,1,4,3,0,0,3,0,1.01,2.02,5,9,2,1
1,0,5,0,0,14,5,1,1,10,8,1,0,1,0,1,0,0,1,9,5,1
9,18.8024,38,9.63577,20,248,14,2,14,91,164,33,3.05,9,13,9,7.07,2.02,22,17,8,1
0,3.13741,9,9.14037,5,30,7,1,2,21,26,7,0,2,2,2,3.03,2.02,3,9,6,1
4,9.56941,11,9.35383,2,33,8,1,2,28,12,4,2.03,4,5,4,2.02,2.02,10,9,8,1
42,8.82882,112,9.45239,47,685,65,1,217,2080,260,259,13.68,43,41,41,18.74,0,72,0,59,0
7,15.7237,29,9.56692,6,88,18,1,24,153,36,29,3.16,4,13,4,13.26,2.02,20,9,17,1
1,6.098,14,9.23881,3,49,4,1,2,6,17,4,1.05,5,4,4,1.02,2.02,6,9,3,1
7,15.2548,33,9.58881,10,122,14,1,1,91,51,11,6.3,5,13,5,6.13,0,19,0,14,1
0,1.84703,2,9.09329,2,9,1,1,0,0,5,2,0,0,1,0,0,0,2,0,0,1
3,3.46707,7,0.085882,0,41,6,1,0,15,11,0,0,8,3,8,0,2.02,4,9,6,1
1,3.37801,7,9.16485,1,23,7,1,1,21,8,2,0,3,2,3,0,1.02,4,34,7,1
2,4.74807,2,9.22447,0,6,2,1,2,1,2,2,0,1,3,1,0,1.01,3,9,2,1
1,3.37801,7,9.16485,2,25,7,3,1,21,9,3,0,2,4,2,0,1.01,4,32,6,1
4,4.47481,34,0.125748,6,131,22,3,5,231,63,11,0,4,0,2,7.15,0,4,44,17,1
4,9.8172,9,9.3836,3,81,6,1,0,15,22,3,0,3,7,2,2.02,0,10,0,6,1
10,19.6657,10,9.66451,7,45,4,1,6,6,28,13,9.5,2,13,1,10.17,0,34,0,4,1
1,0,6,0,1,26,5,1,1,10,11,2,0,3,1,3,0,0,1,0,4,1
2,0,106,0,37,681,44,1,8,946,309,42,1.05,4,1,3,1.01,0,2,9,40,0
3,3.37801,25,9.16485,13,101,14,1,2,91,62,15,0,8,5,5,3.03,1.01,6,9,12,1
1,1.84703,5,9.09329,0,15,6,1,1,15,7,1,0,3,2,0,0,1.01,2,14,6,1
2,8.83356,14,9.35271,0,43,13,1,14,78,17,14,0,13,3,13,2.09,3.11,7,14,13,1
8,10.7478,39,9.46936,4,194,30,1,26,435,106,28,6.5,2,9,2,12.2,2.02,15,9,27,1
3,8.3403,11,9.35194,8,49,5,1,0,10,24,8,0,2,6,2,1.02,0,8,0,3,0
2,0,1,0,0,3,1,1,0,0,2,0,0,15,1,1,0,0,4,0,1,1
7,13.5232,4,9.45671,3,19,2,1,1,1,12,3,0,1,10,1,2.02,0,15,0,2,1
3,1.49003,11,0.121386,10,40,4,3,1,6,24,11,0,4,0,3,1.01,1.1,3,43,4,1
3,6.25104,4,9.23975,0,15,8,1,0,28,8,0,0,0,4,0,0,2.02,5,9,4,1
5,15.3663,14,9.54493,11,190,12,1,3,66,65,14,1.03,4,10,0,6.06,0,14,0,7,1
1,0,15,0,4,54,9,1,9,36,28,13,0,14,1,1,0,0,1,0,8,0
3,1.49003,25,0.121386,6,88,6,3,1,15,32,7,1.03,4,1,4,1.01,1.1,4,43,6,1
8,6.71473,34,9.32269,15,191,13,2,5,78,88,18,6.44,7,10,7,7.1,3.08,16,19,8,0
2,4.88878,9,9.22338,7,83,5,1,1,10,62,8,1.01,3,3,3,1.01,1.01,4,9,2,1
1,3.37801,10,9.16485,2,42,9,1,1,36,20,3,0,6,2,6,0,1.01,4,9,9,0
1,0,30,0,21,301,21,1,1,210,122,22,0,9,1,9,0,0,1,0,11,0
1,3.00608,5,0.13617,2,43,3,1,0,3,12,2,1.01,3,2,2,3.03,1.01,4,9,3,1
11,5.64478,22,9.31996,11,166,9,3,2,36,74,12,5.61,4,15,2,4.09,2.04,19,48,2,0
4,5.94514,11,9.22122,1,38,6,4,0,15,10,1,0,3,5,3,1.02,2.1,7,71,6,1
2,4.67939,6,9.18368,0,19,6,1,2,15,10,2,0,5,3,1,0,0,4,0,6,1
4,11.5723,40,9.45138,5,166,18,1,2,153,81,5,3.1,8,11,8,3.04,2.02,13,16,12,1
0,0,15,0,15,87,5,1,0,10,63,15,0,0,0,0,0,0,1,9,3,1
3,5.57512,20,9.25013,15,144,13,1,1,78,83,16,0,5,4,3,3.03,0,7,0,4,1
4,12.1149,9,9.38983,2,41,5,1,0,10,14,2,0,1,7,0,0,0,10,0,4,1
3,10.3881,18,9.39275,9,115,8,2,0,28,43,9,3.06,0,9,0,7.08,2.02,11,16,7,1
0,3.32672,19,9.15394,5,54,7,1,9,21,24,14,0,1,3,0,1.02,1.01,3,9,7,1
1,0,1,0,0,3,1,1,0,0,2,0,0,2,0,1,0,0,2,0,1,1
3,4.53451,10,9.1842,1,27,9,1,2,36,15,3,1.01,1,3,1,3.03,0,7,0,7,1
1,1.84703,0,9.09329,0,0,1,1,2,0,1,2,0,11,2,1,0,1.02,2,18,1,1
9,17.0173,4,9.56557,5,19,4,1,1,6,18,6,2.08,2,11,1,3.03,0,16,0,4,1
4,6.16509,20,9.29688,4,149,13,1,9,78,30,13,1.02,11,4,9,4.06,0,8,0,9,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,0,0,1,9,1,0
4,0,1,0,0,3,1,1,0,0,2,0,0,120,2,1,0,0,7,0,1,0
1,0,10,0,9,124,6,2,1,15,43,10,0,7,2,7,1.01,0,2,19,3,0
3,1.49003,3,0.121386,1,12,4,2,1,6,5,2,0,0,0,0,1.01,1.1,3,22,1,1
1,0,51,0,11,260,15,1,5,105,140,16,0,8,0,8,0,0,1,0,12,1
1,0,18,0,8,83,5,2,0,10,39,8,0,3,1,3,0,0,1,19,4,0
3,9.03512,1,9.36669,0,3,1,3,0,0,1,0,1.08,0,6,0,1.06,3.03,8,29,1,1
3,8.0655,14,9.30105,2,124,9,1,3,36,38,5,1.05,5,4,4,0,0,8,0,2,1
4,1.49003,3,0.121386,1,11,4,2,5,6,5,6,0,0,0,0,5.05,1.1,5,22,1,1
8,12.5709,6,9.51024,6,26,2,2,1,1,17,7,2.04,0,9,0,2.03,2.02,14,11,2,1
5,1.49003,12,0.121386,2,47,8,1,28,28,21,29,0,2,0,2,4.04,0,5,9,7,1
1,0,2,0,1,6,2,4,1,1,3,2,0,0,0,0,0,0,1,29,1,1
1,6.45512,71,0.209384,5,168,32,2,8,496,77,13,0,16,3,16,2.03,2.06,4,37,32,1
3,1.84703,29,9.09329,5,117,15,2,15,105,68,19,1.34,5,3,5,7.08,3.06,7,23,11,1
3,4.83045,14,9.23327,6,50,4,2,1,6,23,7,0,1,4,1,0,2.02,6,25,3,1
4,5.59876,17,9.2653,6,55,11,2,2,55,24,8,2.04,3,7,3,2.03,2.05,10,26,11,1
2,4.17741,6,9.19476,7,41,1,2,0,0,18,7,1.06,1,4,1,1.01,1.01,6,2,0,1
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
28,28.6495,40,9.93732,18,173,6,1,2,15,75,20,17.6,2,41,2,19.6,0,69,0,4,1
1,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,1
1,5.83251,31,9.22122,1,114,12,1,1,66,56,2,1.02,2,4,2,0,2.02,4,9,6,1
0,0,2,0,0,6,2,1,2,1,2,2,0,1,0,1,0,0,1,0,2,1
2,7.76934,11,9.32416,8,39,4,3,1,6,20,9,0,2,6,1,3.03,2.02,9,19,3,1
1,0,8,0,1,28,8,4,1,28,12,2,0,1,1,1,0,0,1,21,8,1
3,3.95974,17,9.15318,1,55,15,1,4,105,23,5,0,6,3,6,1.01,2.02,5,9,15,1
3,4.96177,1,9.18381,0,3,1,2,0,0,1,0,0,0,4,0,0,5.05,5,17,0,1
1,6.45512,66,0.209384,4,171,34,2,10,561,76,14,0,17,3,17,2.03,2.06,4,37,34,1
1,2.35602,59,0.06795,5,206,47,1,1,1081,145,6,1.76,18,0,15,1.02,3.1,1,10,42,1
1,0,10,0,5,41,4,3,1,6,18,6,0,1,0,1,1.01,1.1,2,43,4,1
3,10.5434,24,9.41879,11,161,12,1,6,66,66,16,1.02,5,10,5,5.05,2.02,13,9,7,1
43,31.8183,124,10.0612,29,452,44,2,18,946,219,44,13.1,11,47,9,11.22,11.5,75,36,41,0
1,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
0,1.45219,3,0.040996,3,16,2,1,1,1,7,4,1.03,0,0,0,1.03,3.31,0,31,2,1
0,4.63412,7,9.22532,0,12,3,1,0,3,5,0,1.04,1,2,0,0,0,4,0,1,0
9,8.4865,21,9.44205,11,71,7,1,5,21,59,15,4.52,5,8,5,4.13,2.02,17,9,6,1
1,1.84703,2,9.09329,3,14,3,2,1,3,7,4,0,0,3,0,0,1.01,3,11,3,1
1,4.46389,10,9.17814,2,34,10,2,1,45,21,3,0,4,3,3,0,3.19,4,28,9,1
0,0,1,0,0,3,1,1,0,0,2,0,0,31,0,1,0,0,1,0,1,0
16,20.3292,9,9.62892,3,57,6,3,1,15,20,4,3.12,7,18,7,2.03,1.05,31,14,6,1
1,0,2,0,0,6,2,1,1,1,3,1,0,1,0,0,0,0,2,0,2,1
2,4.58293,4,9.17116,0,14,4,1,5,6,5,5,0,2,3,2,3.03,2.04,4,18,3,1
7,1.49003,45,0.121386,12,191,24,1,61,276,102,72,4.16,8,1,6,7.17,1.09,9,18,19,1
1,1.84703,6,9.09329,2,18,6,2,0,15,9,2,1.01,0,2,0,1.01,2.05,3,31,6,1
3,8.87878,23,9.31915,6,193,12,2,0,66,39,6,0,25,8,25,3.03,1.01,9,2,10,1
1,0,20,0,7,78,4,1,2,6,47,9,1.01,2,0,0,2.02,0,4,9,3,1
3,11.1073,16,9.42768,4,75,6,1,2,15,34,6,3.04,1,8,1,4.04,2.02,13,9,3,1
2,0,12,0,4,43,9,1,2,36,22,6,0,3,1,3,0,0,2,17,9,1
0,0,22,0,1,116,12,1,3,66,35,4,0,4,1,3,1.03,0,2,0,4,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,9,0,1
5,9.97052,16,9.38269,1,51,14,1,8,91,16,9,0,11,6,6,8.11,2.04,8,18,14,1
1,3.13741,2,9.14037,1,6,2,2,0,1,3,1,0,1,3,0,0,3.04,4,19,2,1
1,0,8,0,1,26,6,3,1,15,9,2,0,0,0,0,0,0,2,13,3,1
4,6.31013,20,9.29392,6,82,13,1,7,78,39,12,1.11,6,4,6,4.06,1.01,5,9,13,1
0,1.84703,4,9.09329,1,18,4,1,0,6,8,1,0,2,1,2,0,0,2,9,4,0
7,4.53504,33,9.20046,14,211,26,1,24,325,112,37,4.35,2,8,2,10.12,2.02,12,9,20,0
0,0,4,0,0,81,2,1,1,1,5,1,0,5,0,5,0,0,2,0,2,1
3,5.25012,11,9.20025,1,33,6,1,0,15,14,1,0,5,4,1,0,0,5,0,3,1
2,5.42237,45,0.137188,3,162,34,2,7,561,54,10,0,20,0,15,0,2.02,2,18,34,1
5,5.07046,3,0.144061,4,19,5,2,0,10,26,4,2.19,7,0,7,1.01,3.66,5,77,2,1
2,0.891381,8,8.95641,4,40,4,3,1,6,20,5,0,3,0,3,0,1.1,3,43,3,1
0,0,2,0,1,9,2,1,1,1,3,2,0,2,0,2,0,0,1,9,1,0
6,10.777,6,9.37426,4,24,6,1,1,15,20,5,2.07,2,4,1,4.05,0,13,0,5,1
1,4.83045,3,9.23327,0,9,3,1,3,3,3,3,1.02,1,3,1,1.01,0,4,0,3,1
3,3.08906,37,9.15957,5,106,21,1,4,210,59,9,2.05,6,4,1,1.01,4.04,6,35,16,0
1,0,33,0,9,224,18,2,4,153,91,13,3.05,10,2,9,2.03,0,6,2,7,0
1,1.84703,4,9.09329,5,27,1,1,0,0,11,5,1.02,1,3,1,1.02,2.2,3,0,1,1
7,13.51,17,9.4472,5,84,12,1,1,66,32,6,1.01,2,6,1,1.01,2.02,12,17,12,1
1,6.87219,3,9.25279,1,11,2,1,1,1,6,1,0,1,4,0,0,0,7,0,2,1
2,4.61199,0,9.17324,0,0,1,1,1,0,1,1,0,0,3,0,0,2.04,4,18,0,1
2,3.13618,4,9.13015,1,6,2,1,2,1,3,3,0,0,3,0,0,2.02,4,9,2,1
1,0,53,0,2,193,18,1,10,153,111,11,0,5,1,4,0,0,1,9,10,1
0,0,6,0,4,60,3,2,0,3,21,4,0,2,1,2,3.03,0,1,2,2,1
4,2.38141,24,9.07779,2,77,13,1,15,78,28,17,1.07,6,0,5,4.1,0,6,9,13,1
1,0,9,0,5,31,4,3,1,6,18,6,0,4,0,4,0,1.1,2,43,4,1
19,17.2558,61,9.63664,15,197,50,1,39,1225,133,50,4.1,14,18,8,12.14,2.02,31,9,50,1
7,16.269,9,9.53479,6,66,5,2,1,10,29,7,1.01,4,9,4,4.04,2.02,16,15,4,1
3,1.49003,5,0.121386,2,16,3,1,1,3,10,3,0,3,0,1,2.02,0,3,0,2,1
2,11.9205,6,9.42848,0,24,7,1,1,21,9,1,0,4,5,4,1.01,2.02,9,9,7,1
0,3.13741,4,9.14037,0,9,4,1,0,6,7,0,0,0,3,0,0,0,3,0,4,1
2,3.39209,26,9.15904,2,83,26,1,6,325,29,8,0,13,3,13,3.03,1.01,3,33,26,1
5,12.7323,7,9.43754,3,19,3,2,2,3,9,4,1.03,2,10,2,1.02,4.04,14,11,3,1
14,7.8108,28,9.40735,18,167,14,2,1,91,103,19,8.65,11,21,11,4.1,1.02,29,3,5,1
5,4.88878,4,9.22338,5,22,4,1,1,6,19,6,1.01,2,7,2,0,0,12,0,3,1
7,16.8,7,9.60346,10,50,3,1,2,3,24,12,5.11,1,12,1,6.08,2.02,20,10,3,0
3,4.10346,9,9.18766,3,24,4,1,0,6,10,3,0,1,3,0,1.03,0,4,0,2,1
3,1.49003,9,0.121386,3,36,6,5,1,15,17,4,2.15,2,0,2,3.05,2.18,4,53,1,1
7,4.64726,81,0.121355,40,374,32,2,6,496,227,44,8.8,11,7,7,5.23,5.28,17,36,29,1
10,10.8205,16,9.47029,14,126,9,3,0,36,71,14,6.73,0,10,0,6.12,6.2,21,31,4,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,1.01,0,1,9,1,0
1,6.83865,7,9.28183,4,19,3,3,0,3,7,4,0,0,5,0,0,4.15,6,42,3,1
1,0,1,0,0,3,1,2,0,0,1,0,0,0,1,0,0,0,1,4,1,1
2,4.58293,1,9.17116,0,3,2,2,2,1,3,2,0,1,3,1,0,2.04,4,19,1,1
1,6.31013,11,9.29392,7,39,5,1,223,10,28,229,1.08,1,4,1,21.1,1.01,7,9,2,1
0,0,4,0,1,14,1,1,0,0,7,1,0,1,0,0,0,0,1,0,1,0
1,5.08708,26,9.19612,5,197,7,2,1,21,75,6,0,8,4,2,3.03,2.02,4,24,7,1
1,3.17351,15,9.13106,3,54,10,1,1,45,24,4,0,3,2,3,0,0,3,0,10,1
4,11.0715,15,9.4138,3,55,9,2,2,36,30,5,4.1,0,10,0,2.02,6.06,13,17,7,1
12,15.5471,32,0.470136,8,164,15,1,1,105,85,8,6.3,6,18,5,9.15,5.06,27,9,13,1
3,1.49003,13,0.121386,7,42,4,3,1,6,20,8,0,6,0,5,0,1.1,3,43,4,1
0,1.84703,4,9.09329,3,32,2,1,1,1,14,3,0,4,1,1,0,1.01,2,9,1,0
61,32.9492,85,10.1284,32,417,29,2,17,406,230,47,25.85,11,60,8,21.38,10.46,108,36,26,1
3,1.49003,3,0.121386,1,9,4,2,1,6,5,2,0,0,0,0,1.01,1.1,3,22,1,1
11,20.5714,22,9.67704,5,157,12,1,2,66,53,7,5.33,9,18,9,7.08,0,29,0,6,1
0,0,6,0,3,22,2,1,3,1,13,6,0,0,0,0,0,0,1,9,2,0
1,0,16,0,2,56,6,1,3,15,24,5,0,4,0,4,0,0,2,9,6,1
1,1.84703,38,9.09329,3,103,5,1,0,10,89,3,1.01,7,3,6,3.04,2.26,3,0,5,1
10,3.33706,18,9.21468,7,68,12,2,3,66,34,10,5.27,3,1,3,4.08,1.05,12,5,8,1
1,4.17741,1,9.19476,0,2,2,1,1,1,2,1,1.01,0,3,0,0,2.02,4,10,2,1
1,1.45219,1,0.040996,1,8,1,1,0,0,2,1,0,5,0,2,0,2.02,1,9,1,1
7,13.9097,20,9.47031,4,197,12,1,0,66,38,4,2.03,7,11,7,3.04,0,19,0,5,1
2,1.84703,7,9.09329,7,32,3,2,2,3,22,9,1.15,1,2,1,1.04,1.01,4,11,3,1
2,6.64782,15,9.25562,7,60,6,2,3,15,32,10,2.02,1,5,0,4.04,3.05,8,25,5,1
3,1.49003,4,0.121386,0,12,5,2,6,10,5,6,1.02,2,0,2,2.02,0,3,20,5,1
7,12.4918,7,9.43024,2,46,6,1,3,15,18,5,4.34,3,9,3,7.09,2.02,15,9,4,1
0,0,3,0,0,9,4,2,1,6,5,1,0,0,0,0,0,0,1,22,1,1
4,9.69489,7,9.35353,2,21,5,1,0,10,8,2,1.01,0,7,0,0,2.02,10,9,5,1
0,3.09898,10,9.17832,5,39,6,1,3,15,25,7,1.02,2,1,2,2.02,1.01,3,9,5,1
1,0,18,0,3,72,7,1,3,21,18,6,2.04,6,0,4,1.03,0,2,0,5,1
18,13.2779,120,9.48433,12,462,42,1,19,861,292,30,11.18,17,18,17,14.28,2.04,30,18,40,0
0,0,23,0,2,88,7,1,2,21,32,4,1.12,3,1,3,0,0,2,0,3,1
4,5.94514,12,9.22122,1,40,7,2,0,21,12,1,0,3,5,3,1.03,3.31,7,25,7,1
5,11.8529,57,9.46352,15,226,12,3,1,66,96,16,2.05,4,11,2,4.04,4.09,17,38,4,1
1,0,2,0,1,9,2,1,4,1,3,5,0,2,0,2,0,0,1,9,1,0
1,0,6,0,2,27,5,2,1,10,11,3,0,1,1,1,0,0,1,7,4,0
4,6.31013,11,9.29392,3,41,11,1,110,55,15,112,1.03,7,5,7,15.78,1.01,6,9,11,1
1,1.84703,1,9.09329,0,3,1,2,1,0,1,1,0,1,2,1,0,2.03,2,26,1,1
7,5.57512,37,9.25013,13,316,21,1,0,210,94,13,1.02,19,8,16,0,0,15,0,9,1
2,0,25,0,1,115,9,1,3,36,28,4,2.07,8,1,8,1.01,0,2,0,6,1
1,3.37801,23,9.16485,0,68,21,1,6,210,24,6,1.04,10,3,10,2.02,2.03,4,22,21,1
12,19.3588,13,9.65519,5,55,6,1,1,15,20,6,6.08,6,16,6,2.03,4.13,27,51,5,1
0,0,18,0,5,66,6,1,1,15,32,6,0,3,1,2,0,0,1,0,4,1
1,0,2,0,1,9,2,1,2,1,3,3,0,2,0,2,0,0,1,9,1,1
9,11.8437,2,9.35063,1,9,2,2,0,1,5,1,0,0,11,0,1.01,2.02,15,11,2,1
2,4.88878,25,9.22338,13,121,23,1,4,253,52,17,1.01,8,3,8,2.03,1.01,6,9,23,1
4,5.94514,67,9.22122,4,126,22,3,1,231,61,5,0,11,5,11,1.02,2.08,7,52,22,1
4,5.94514,12,9.22122,1,40,7,2,0,21,12,1,0,3,5,3,1.03,3.31,7,25,7,1
0,1.45219,7,0.040996,3,27,3,1,1,3,16,4,1.03,2,0,2,1.03,3.31,0,31,2,1
4,1.49003,5,0.121386,1,23,4,2,1,6,10,2,0,1,0,1,2.02,1.1,4,22,1,1
0,0,1,0,0,3,1,1,0,0,2,0,0,3,0,1,0,0,1,0,1,1
0,0,3,0,1,9,4,2,1,6,5,2,0,0,0,0,0,0,1,22,1,1
2,2.38141,15,9.07779,0,69,9,1,1,36,19,1,0,3,0,3,0,0,2,9,8,1
0,0,15,0,9,51,8,1,4,28,29,13,0,6,1,3,0,0,3,0,7,1
0,1.23001,3,0.029748,0,14,2,1,2,1,7,2,0,1,0,1,2.02,0,1,0,2,1
5,4.88878,5,9.22338,0,15,6,1,2,15,6,2,1.1,2,5,2,2.07,1.01,8,9,6,1
28,29.7095,34,9.98163,23,431,17,2,1,136,109,24,9.73,14,33,13,8.18,2.03,70,14,7,0
14,18.1636,32,9.62313,14,194,8,1,0,28,90,14,3.49,11,14,11,4.16,2.02,25,9,8,1
0,0,1,0,0,3,1,1,0,0,2,0,0,4,0,1,0,0,1,0,1,1
4,4.92306,13,9.2306,3,47,13,2,1,78,23,4,1.1,4,6,4,1.03,2.02,8,28,12,1
15,17.3813,11,9.61825,6,41,8,1,10,28,25,15,6.17,1,13,1,5.05,4.16,22,13,6,0
0,0,25,0,1,54,7,1,1,21,18,2,0,2,0,2,0,0,1,9,3,1
3,4.92306,18,9.2306,9,67,21,2,13,210,45,20,0,10,4,4,3.03,2.02,6,17,16,1
0,1.84703,5,9.09329,0,71,5,1,0,10,13,0,0,2,2,2,0,0,3,0,2,1
5,6.03182,3,9.28068,2,39,3,1,1,3,9,3,1.03,3,6,3,0,0,10,0,2,1
1,5.37749,3,9.22708,0,11,3,3,3,3,3,3,0,2,4,2,1.01,7.35,4,50,3,1
2,6.86517,1,9.27338,3,8,1,1,0,0,7,3,0,0,4,0,0,2.02,6,9,1,1
2,4.15475,15,9.19857,12,70,4,2,1,6,34,13,1.02,0,3,0,1.01,1.01,6,15,3,1
92,36.1661,199,10.25,58,1115,67,1,53,2211,470,97,30.86,82,85,68,25.46,0,197,0,43,0
0,3.17351,5,9.13106,0,12,4,4,1,6,4,1,0,2,2,0,1.01,4.09,3,47,2,1
0,1.84703,7,9.09329,3,34,4,1,0,6,19,3,0,4,1,3,1.01,1.01,2,9,2,1
8,11.5798,4,9.41912,0,16,6,1,2,15,6,2,4.2,1,5,1,4.09,2.02,12,9,6,1
28,8.36649,140,9.44688,42,672,43,1,114,903,299,152,14.95,1,29,0,18.35,1.01,55,9,39,0
6,9.92416,5,9.36673,4,22,3,1,3,3,12,7,3.04,1,10,1,2.04,0,15,0,3,1
4,9.05387,4,9.38007,5,31,3,2,0,3,21,5,4,1,6,1,2.05,3.08,10,19,2,0
1,3.37801,7,9.16485,3,57,7,2,0,21,23,3,0,5,3,5,0,2.02,3,32,6,1
0,0,10,0,2,35,6,1,2,15,15,4,0,2,0,2,0,0,2,9,6,1
1,6.45512,51,0.209384,4,121,22,2,1,231,54,5,0,11,3,11,2.03,2.06,4,37,22,1
0,3.17351,4,9.13106,0,12,4,4,1,6,4,1,0,2,2,0,1.01,4.09,3,47,2,1
3,3.0367,45,9.15989,7,164,45,2,3,990,67,10,1.01,1,4,1,1.01,4.04,5,59,45,1
