numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
1,3.16218,13,0,80,13,1,1,78,32,0,1,1.02,2,2,0,0,1,0,2,1.04,1
1,7.56943,18,7,120,8,1,1,28,41,2.02,8,3.05,8,6,2.02,0,1,0,3,4.12,1
0,3.18664,7,4,21,4,3,1,6,12,0,5,0,1,1,0,3.1,0,14,3,0,1
0,4.87416,76,5,210,11,3,1,55,128,2.02,6,1.95,11,11,2.02,2.03,1,36,9,2.58,1
3,4.41258,18,10,59,13,4,2,78,34,0,12,1.02,0,0,0,2.02,7,70,8,1.02,1
2,5.78633,5,2,24,2,2,0,1,12,0,2,1.05,0,0,0,0,2,2,2,2.26,1
5,11.2693,35,5,111,11,1,1,55,52,1.06,5,5.67,7,6,1.07,1.01,5,6,3,6.46,0
3,10.9403,2,1,11,2,1,1,1,6,0,2,0,1,0,1.01,0,3,0,2,1.03,0
0,1.77712,10,2,31,7,1,3,21,11,0,5,0,2,2,0,1.01,0,8,5,0,1
0,1.76682,2,6,9,2,1,0,1,12,0,6,0,0,0,0,0,0,0,2,1.07,0
13,25.1717,181,44,525,26,3,3,325,363,6.07,47,17.12,2,2,6.07,3.08,20,65,3,19.37,1
0,2.84822,13,12,70,10,5,1,45,40,0,13,0,4,0,0,2.04,3,80,7,1.19,1
0,1.76682,5,1,17,3,3,0,3,9,0,1,0,1,1,0,0,1,14,2,0,1
3,10.6649,8,1,29,4,2,1,6,14,2.02,2,2.08,2,2,2.03,1.09,4,9,2,3.15,1
0,6.41569,4,1,14,4,2,5,6,5,0,6,0,2,2,1.02,1.01,0,10,4,0,1
0,0,2,0,6,2,1,12,1,2,0,12,0,1,1,5.07,0,0,0,2,0,1
1,1.76682,11,7,50,4,3,0,6,30,0,7,0,1,1,0,0,2,14,3,0,1
2,6.95514,5,0,17,5,2,4,10,6,0,4,2.04,3,2,2.04,1.01,3,14,5,2.12,1
1,2.53371,49,16,186,25,3,0,300,82,2.04,16,2.17,0,0,2.04,0,3,72,11,2.43,1
3,8.16318,10,7,35,3,1,3,3,17,3.03,10,4.07,0,0,3.03,0,3,0,3,2.18,1
3,8.35105,10,8,30,3,2,2,3,20,0,10,0,2,2,0,2.03,3,11,2,2.02,1
2,6.81975,3,0,22,2,1,0,1,4,0,0,1.01,1,0,0,0,3,0,2,2.24,1
0,3.17095,25,5,59,10,1,1,45,26,0,6,1.09,8,1,0,0,2,6,9,1.39,1
1,1.77712,3,1,10,3,5,1,3,4,0,2,0,1,1,0,1.03,1,88,3,0,1
0,0,5,3,27,5,1,0,10,15,0,3,0,1,0,0,0,1,0,3,0,1
4,10.548,28,11,148,13,1,0,78,64,2.02,11,2.03,5,5,2.02,0,4,0,1,3.11,1
9,15.3743,0,0,0,0,1,0,0,0,0,0,0,56,1,0,0,20,0,0,0,0
0,1.76682,28,7,139,12,1,4,66,52,0,11,0,6,6,0,0,1,6,8,1.06,1
4,9.97572,4,3,14,4,8,8,6,8,1.01,11,1.01,1,1,8.09,8.14,4,172,4,0,1
13,23.3982,6,6,62,4,1,1,6,21,11.49,7,10.81,4,4,11.5,0,15,0,3,13.45,1
1,4.63082,15,1,52,10,1,1,45,27,0,2,2.02,5,5,0,0,2,0,9,1.02,1
3,10.1254,15,12,93,10,4,1,45,42,3.03,13,2.02,1,0,3.03,9.11,3,51,2,3.07,0
4,10.3576,25,8,84,5,1,3,10,43,2.03,11,2.19,0,0,4.05,1.01,7,6,2,4.38,1
3,12.5129,35,18,111,5,1,1,10,61,2.02,19,4.17,0,0,1.01,1.01,5,6,1,6.34,1
0,2.90397,5,0,22,2,2,2,1,8,0,2,0,1,1,0,1.01,1,10,2,0,1
2,2.97312,11,8,53,6,3,1,15,26,0,9,1.01,1,0,0,1.01,2,41,2,2.03,1
11,21.326,118,36,520,33,5,8,528,276,5.09,43,11.62,10,9,6.1,5.37,17,72,7,14.3,1
0,6.41569,7,0,22,6,3,9,15,13,0,9,0,1,1,2.03,3.05,0,19,6,1.01,1
1,14.2096,1,2,7,1,1,0,0,4,0,2,0,0,0,0,0,1,0,1,3.03,1
3,4.56949,5,0,18,5,1,1,10,5,0,1,0,4,4,0,0,3,10,5,0,1
2,12.3915,16,9,390,8,1,2,28,53,2.02,11,3.05,4,4,3.03,0,2,0,1,3.06,1
2,8.69863,3,2,16,3,1,1,3,8,0,3,1.01,3,3,0,0,2,0,3,0,1
2,7.67578,44,13,105,4,1,1,6,56,0,14,2.02,1,1,0,1.01,3,6,2,2.12,1
1,1.76682,5,1,41,4,1,1,6,8,0,2,0,2,2,0,0,1,0,2,0,1
0,4.68802,17,7,70,12,1,3,66,47,0,10,0,2,2,0,1.01,0,9,9,1.01,1
4,8.77144,14,5,70,5,1,1,10,29,3.05,6,3.21,2,2,3.05,2.06,5,0,3,4.64,1
5,17.6161,54,16,239,20,3,1,190,123,3.03,17,4.25,7,7,3.03,3.04,7,21,12,6.09,1
1,4.30172,7,1,18,3,1,1,3,7,0,2,0,1,1,0,0,1,0,1,0,0
0,4.70143,6,3,18,5,3,1,10,10,0,4,0,2,2,0,1.02,0,32,5,0,1
1,8.42497,23,10,64,12,5,1,66,59,0,11,1.09,2,2,0,9.7,2,208,12,2.07,1
4,7.65733,22,8,92,8,2,0,28,70,3.03,8,3.12,1,1,3.03,0,4,13,1,3.13,0
0,3.30831,6,2,15,5,5,0,10,10,1.01,2,0,1,1,1.01,9.59,0,247,4,0,1
1,1.76682,5,1,16,4,1,1,6,6,0,2,0,0,0,0,0,1,6,4,0,1
3,3.82071,15,3,49,7,2,1,21,20,1.01,4,2.04,5,5,1.01,0,3,36,5,3.05,1
4,12.6447,33,12,196,15,1,2,105,109,1.01,12,2.07,6,5,1.01,1.01,4,6,5,4.14,0
7,12.0569,12,3,45,11,1,6,55,30,4.08,9,8.72,1,0,5.12,0,7,0,6,9.32,1
4,9.50905,19,6,85,7,2,1,21,42,0,7,3.06,4,4,0,0,4,8,5,4.21,1
0,4.41258,7,2,21,7,5,1,21,11,1.02,3,2.04,1,1,1.02,5.9,1,409,7,2.12,1
1,1.50465,2,1,6,2,2,2,1,3,1.01,3,1.01,0,0,1.01,0,1,14,1,0,1
6,12.4581,47,18,170,12,2,1,66,89,5.16,19,6.66,1,0,5.16,10.17,7,35,2,8.27,0
0,5.99576,4,5,19,2,3,1,1,12,0,6,0,1,0,0,1.01,1,13,1,0,1
1,2.97312,3,2,9,3,2,1,3,5,1.02,3,1.04,0,0,1.02,2.31,1,21,3,1.06,1
6,18.4091,22,12,110,9,2,1,36,52,6.06,13,8.29,11,7,6.08,0,7,8,8,8.52,1
0,0,7,2,22,5,2,2,10,11,0,4,0,0,0,0,0,1,9,5,0,1
1,7.72196,3,2,15,3,2,1,3,8,0,3,1.01,3,3,0,0,1,8,3,0,1
10,24.0348,136,26,484,49,5,23,1176,237,8.13,48,14.25,5,4,15.3,6.17,12,40,40,15.88,1
3,6.80521,10,4,37,8,1,4,28,27,2.03,8,2.03,1,0,2.03,0,3,6,2,2.04,0
0,1.76682,4,2,11,4,1,2,6,6,0,3,0,1,0,0,0,1,9,4,0,1
0,5.36933,22,3,115,7,1,1,21,39,0,3,0,2,2,0,0,0,0,4,1.03,1
0,10.3221,35,7,152,17,3,0,136,72,2.02,7,2.04,5,5,3.03,3.04,1,21,10,3.12,1
3,3.82133,3,1,12,2,2,0,1,5,1.01,1,1.04,2,0,1.01,2.02,3,12,1,1.06,1
2,5.99307,12,3,32,9,6,3,36,16,1.03,6,1.09,2,2,2.04,3.06,2,81,7,1.16,1
1,4.33338,10,7,50,6,4,1,15,30,0,8,0,1,0,0,1.01,1,51,3,0,1
3,14.5859,13,6,71,11,2,1,55,42,3.05,7,4.34,1,0,3.05,9.19,7,28,4,8.51,1
2,8.16874,58,15,236,30,3,0,435,96,2.04,15,2.31,1,1,2.04,1.01,3,72,11,4.89,1
2,5.02919,8,2,34,4,1,1,6,17,1.01,3,1.04,1,0,1.01,0,3,6,2,2.25,1
5,7.66405,48,18,125,10,2,2,45,80,0,20,0,1,1,0,2.03,6,11,2,2.12,1
2,3.22666,7,3,19,2,2,0,1,18,1.01,3,1.01,0,0,1.01,1.02,2,8,2,2.02,1
2,3.18664,5,2,22,5,2,1,10,8,0,3,1.01,0,0,0,2.06,2,12,4,1.03,1
1,3.27147,10,6,46,5,1,2,10,23,2.02,8,1.01,1,1,2.02,0,2,6,3,1.01,1
5,14.4493,68,18,228,18,5,3,153,150,5.11,19,4.48,7,3,5.11,5.07,5,115,13,5.81,0
3,11.6432,21,14,95,8,2,2,28,48,3.04,15,6.19,2,1,3.04,6.14,8,29,5,7.56,1
0,4.40164,13,7,39,5,3,2,10,19,0,8,0,0,0,0,0,2,21,2,1.02,1
0,3.05459,4,3,45,3,1,2,3,8,0,5,0,0,0,0,0,1,6,2,1.04,1
0,1.76682,17,1,57,5,1,0,10,15,0,1,0,3,2,0,0,1,0,5,1.04,1
2,12.6847,5,2,20,5,1,2,10,9,3.03,3,2.04,1,1,3.04,2.05,2,6,5,3.15,1
2,8.67717,24,13,121,14,3,1,91,68,2.02,14,3.17,2,2,2.02,3.04,2,21,10,4.45,1
4,12.4038,127,19,396,31,5,3,465,181,1.01,22,3.04,7,1,1.01,5.37,5,73,11,3.6,1
3,10.5501,7,4,32,5,1,1,10,20,1.01,5,3.1,1,1,1.01,0,4,0,4,3.14,1
2,3.10682,1,1,34,1,1,1,0,4,0,2,1.01,0,0,0,0,2,0,1,2.3,0
0,5.82082,7,0,20,6,1,5,15,7,0,5,0,4,4,1.02,1.01,0,6,2,0,1
1,6.41569,20,4,88,9,3,0,36,41,0,4,0,4,4,1.01,1.01,1,23,5,0,1
0,1.76682,3,2,12,3,1,1,3,6,0,3,0,0,0,0,0,1,6,2,0,1
0,3.17095,23,2,89,10,1,1,45,32,0,3,0,7,5,0,0,0,6,9,0,1
3,11.9584,17,6,83,12,5,3,66,41,2.02,9,4.11,4,4,4.04,5.11,4,78,12,3.31,0
3,11.3834,7,3,19,5,3,1,10,12,3.05,4,4.12,2,2,3.05,4.1,3,32,5,3.14,0
0,4.43166,16,5,84,5,3,1,10,26,3.03,5,0,0,0,3.03,1.01,0,23,2,1.05,0
0,5.2122,13,7,39,4,2,0,6,32,1.01,7,1.06,0,0,1.01,0,2,7,0,2.1,1
1,7.47927,8,0,30,6,1,6,15,13,0,6,0,1,1,3.04,1.01,1,6,3,0,1
3,10.9347,16,5,45,7,3,15,21,27,1.02,20,3.06,2,2,9.12,4.1,3,44,7,4.13,1
1,6.44121,3,1,10,3,1,3,3,7,0,4,0,0,0,0,1.01,1,6,2,0,1
2,3.05459,8,4,26,2,1,1,1,14,1.01,5,1.04,0,0,1.01,0,2,6,2,2.17,1
0,6.41569,3,1,9,2,2,2,1,3,0,3,0,0,0,0,1.01,0,9,2,0,1
3,10.2202,5,4,34,4,2,1,6,15,0,5,2.03,3,2,0,0,3,8,4,0,1
4,12.7504,26,8,96,8,5,0,28,50,0,8,3.22,0,0,0,3.04,5,40,1,4.5,1
2,11.2422,36,3,283,16,1,5,120,95,2.04,8,4.5,18,18,4.08,0,4,0,1,8.16,1
3,20.1475,10,8,37,4,2,1,6,21,3.06,9,4.17,3,2,3.06,8.18,7,28,2,4.26,1
0,11.8601,2,4,11,2,1,1,1,7,2.05,5,1.27,2,2,2.05,0,1,0,2,2.46,1
3,13.1504,24,14,191,16,3,1,120,89,3.04,15,6.41,7,7,3.04,3.04,6,21,7,9.42,1
1,2.97312,7,3,32,5,1,1,10,14,0,4,1.02,2,2,0,0,1,0,4,1.1,1
4,10.5825,26,10,102,9,2,1,36,52,2.02,10,3.31,3,2,2.02,5.14,5,47,4,3.75,1
0,4.46612,32,9,123,12,1,1,66,39,1.03,10,1.11,3,3,1.03,0,3,6,8,2.34,1
19,23.5046,131,30,441,17,2,1,136,214,4.09,31,11.86,4,4,5.11,1.01,27,13,2,17.44,1
3,12.9005,5,2,38,5,1,2,10,15,1.01,4,3.04,3,3,1.01,0,3,0,1,2.07,1
2,4.41258,27,15,103,15,4,1,105,52,1.08,16,2.3,0,0,1.08,3.03,4,70,9,2.57,1
0,3.15995,8,2,30,8,5,1,28,14,0,3,0,3,0,0,2.04,2,80,7,0,1
3,11.6831,23,6,96,9,5,3,36,58,1.01,9,1.01,3,3,2.02,11.21,3,181,8,4.1,1
11,13.1737,28,6,162,15,2,1,105,51,4.06,7,4.19,5,5,3.05,2.08,11,20,3,4.76,0
0,1.76682,26,4,114,9,1,1,36,30,0,5,0,3,3,0,0,1,0,3,0,1
1,10.2628,8,7,53,7,2,0,21,31,0,7,1.07,0,0,0,0,1,7,2,1.19,1
0,8.45639,9,1,28,7,1,3,21,24,2.03,4,2.12,2,0,2.06,0,1,0,3,2.12,1
0,4.18914,47,5,176,23,1,2,253,102,1.01,7,1.02,5,4,2.02,1.01,0,8,13,1.12,1
0,7.72196,5,7,38,4,1,1,6,23,0,8,1.01,2,2,0,0,0,0,3,1.03,1
0,10.5804,11,5,35,7,5,14,21,21,1.01,18,2.07,2,2,3.03,3.03,0,37,4,1.1,1
4,5.44491,2,3,12,1,1,0,0,9,1.04,3,3.53,0,0,1.04,0,5,0,1,4.85,1
1,4.87697,9,8,31,4,3,0,6,16,1.05,8,1.06,1,1,1.05,0,2,14,2,1.06,1
1,3.19695,16,3,72,8,1,3,28,26,0,6,0,1,1,0,0,1,0,3,1.03,1
1,1.76682,3,1,14,3,3,1,3,8,0,2,0,5,5,0,1.01,1,23,2,0,1
1,1.77712,2,1,8,2,9,0,1,4,0,1,0,2,2,2.03,2.05,1,175,2,0,1
0,1.77712,3,0,11,3,1,0,3,5,0,0,0,0,0,0,0,1,0,1,1.01,1
1,9.5123,27,4,73,12,3,2,66,39,2.02,6,3.05,4,4,2.02,3.09,1,57,10,2.02,1
5,7.96788,33,8,87,7,2,1,21,41,1.01,8,4.14,3,3,1.01,1.01,5,9,6,5.64,1
0,1.76682,22,3,107,14,2,1,91,44,0,4,0,2,2,0,1.01,1,23,12,0,1
0,3.30831,5,0,14,5,7,5,10,6,0,5,0,0,0,6.1,7.14,0,157,5,0,1
0,1.56044,2,2,7,2,6,0,1,5,0,2,0,0,0,0,0,2,20,2,0,1
2,1.39536,9,2,43,7,1,0,21,15,0,2,1.02,5,5,0,0,4,0,4,1.08,1
0,9.36692,2,1,11,2,1,4,1,5,1.01,5,1.02,2,2,2.02,0,0,0,2,0,1
1,15.5993,29,9,156,14,3,1,91,82,2.02,10,4.17,3,3,2.02,3.04,3,21,10,6.49,1
1,5.98276,14,3,48,4,1,2,6,24,0,5,0,0,0,2.02,1.01,1,6,2,1.03,1
0,3.30831,3,1,9,3,5,3,3,5,0,4,0,1,1,1.01,3.07,0,64,3,0,1
14,25.5219,41,10,296,18,1,2,153,94,7.09,11,11.64,20,11,7.09,0,17,0,7,14.98,0
0,3.96663,14,4,30,1,1,0,0,15,1.01,4,1.03,0,0,1.01,1.01,0,7,1,1.04,1
9,18.6755,7,11,34,2,2,0,1,28,6.07,11,6.19,1,1,6.07,3.03,9,14,0,4.24,1
0,0,3,1,10,2,2,1,1,4,0,2,0,0,0,0,0,1,29,2,0,1
0,1.56044,13,11,81,11,5,1,55,35,0,12,0,3,0,0,2.04,2,80,8,1.13,1
5,10.1348,19,8,52,4,1,2,6,28,2.03,10,3.14,5,5,2.03,0,5,0,4,5.39,1
3,11.5039,12,6,46,10,2,19,45,21,2.03,25,2.11,4,3,3.06,1.01,3,12,10,3.33,1
2,7.21846,19,12,108,14,5,1,91,67,0,13,0,2,0,0,2.04,5,80,9,0,1
0,1.76682,7,7,53,4,1,2,6,22,0,7,0,3,3,0,0,0,0,2,1.01,1
1,3.01668,5,1,16,1,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,1
13,27.4268,92,27,432,33,5,2,528,239,9.31,29,17.35,3,2,10.32,5.37,15,73,9,19.65,1
2,9.04795,137,13,355,19,3,1,171,273,0,14,1.03,3,1,0,3.08,3,65,2,3.32,0
4,12.307,13,4,58,5,1,0,10,32,1.01,4,3.06,1,1,1.01,1.01,4,6,4,3.13,1
1,18.7155,54,2,196,18,1,66,153,61,3.03,68,6.39,8,6,21.7,3.11,5,6,13,10.92,1
0,8.96317,11,4,36,8,1,2,28,25,3.04,6,2.09,2,2,4.05,0,0,0,8,1.1,1
4,10.8049,12,7,72,5,1,1,10,28,4.06,8,4.28,3,3,4.06,2.06,6,0,3,7.82,1
1,1.77712,8,7,24,8,1,1,28,15,0,8,0,1,1,0,0,1,13,8,0,1
12,14.5398,12,8,123,8,4,1,28,42,5.08,9,8.21,5,5,5.08,7.21,19,32,8,11.68,1
2,2.57507,23,7,76,4,1,3,6,37,1.02,10,1.11,3,3,1.03,0,3,6,3,1.22,1
0,6.61569,10,9,30,10,1,1,45,19,3.08,10,3.16,1,1,3.08,4.09,0,15,10,3.24,1
1,4.50329,9,4,26,7,3,2,21,14,1.01,6,1.04,3,3,0,2.04,1,34,7,1.1,1
0,0,7,0,18,2,1,1,1,14,0,1,0,0,0,0,0,1,6,1,0,1
0,7.72196,7,0,21,6,1,9,15,8,1.01,9,1.01,3,3,5.05,0,0,2,6,1.01,1
1,7.4204,0,0,0,1,2,2,0,1,0,2,1.01,0,0,2.02,1.01,1,9,1,0,1
4,15.2441,13,2,75,9,1,0,36,38,3.05,2,5.22,4,4,4.06,0,4,0,4,5.85,1
6,20.0741,19,18,142,14,3,1,91,79,4.22,19,11.2,3,3,4.22,3.04,7,21,7,11.71,1
1,12.5339,10,4,30,8,2,9,28,18,2.03,13,3.12,2,2,7.13,3.03,1,11,5,2.18,1
4,5.8145,80,9,292,15,1,1,105,101,1.03,9,2.25,2,0,1.03,0,6,6,3,3.66,1
3,12.6913,83,5,170,22,3,2,231,86,6.08,7,3.74,18,10,6.09,5.17,4,44,19,6.82,1
8,28.2413,49,27,259,19,5,2,171,135,8.24,29,13.09,1,1,8.24,5.37,14,72,7,18.21,1
1,4.49802,4,9,19,2,2,2,1,16,0,11,0,1,1,0,0,1,7,1,0,1
1,8.04434,6,0,18,7,2,2,21,7,0,2,0,3,3,0,6.13,1,57,7,0,1
4,12.2832,21,2,85,9,1,7,36,36,2.02,9,3.2,3,3,13.15,2.02,5,9,7,4.29,1
2,9.57359,16,7,68,5,1,14,10,26,0,21,0,3,1,4.05,1.01,2,6,4,1.02,0
0,4.41258,9,2,30,9,6,1,36,17,1.02,3,2.03,1,1,1.02,5.9,1,412,9,2.35,1
6,11.9634,8,5,52,2,1,0,1,19,2.02,5,2.03,0,0,2.02,0,6,0,0,2.04,0
5,10.912,25,8,106,16,6,4,120,49,1.01,12,4.06,4,4,4.04,3.06,6,86,14,3.15,0
6,9.9241,13,3,69,9,2,1,36,27,3.03,4,2.06,2,2,2.02,2.08,6,20,2,2.11,0
0,4.68802,6,4,43,6,1,11,15,18,0,15,0,2,2,3.04,0,0,0,6,0,1
1,1.76682,9,5,37,6,1,1,15,18,0,5,0,3,2,0,0,1,0,4,0,1
0,3.22666,6,3,46,2,1,0,1,14,0,3,0,0,0,0,0,2,6,1,1.05,1
0,3.36633,18,14,101,13,3,2,78,66,0,16,0,1,1,0,1.02,1,21,7,1.01,1
0,1.56044,3,2,12,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,0,1
0,1.56044,2,2,7,2,6,0,1,5,0,2,0,0,0,0,0,2,20,2,0,1
1,1.76682,2,0,6,2,3,3,1,2,0,3,0,1,1,0,1.02,1,14,2,0,1
0,5.47181,5,2,21,2,3,1,1,11,0,3,0,1,1,0,2.03,1,16,1,0,1
1,1.76682,13,5,50,5,1,1,10,25,0,6,0,3,3,0,0,1,6,3,1.09,1
9,17.2944,28,11,152,10,1,1,45,62,3.09,12,6.46,9,6,3.09,0,9,0,3,6.98,1
1,11.9189,23,5,65,10,1,2,45,54,5.07,7,5.38,2,0,7.09,0,3,0,3,6.57,1
0,4.75414,1,0,3,1,4,1,0,1,1.01,1,1.01,0,0,1.01,3.04,0,36,1,1.01,1
1,6.30121,10,2,32,7,1,4,21,20,0,6,0,3,3,1.01,1.01,1,6,7,1.01,1
3,11.4044,10,2,71,6,1,0,15,28,0,2,4.25,4,4,0,0,3,0,4,4.93,0
0,1.56044,8,2,30,8,5,1,28,14,0,3,0,2,0,0,2.04,2,80,7,1.06,1
0,0,11,3,77,8,4,1,28,29,0,4,0,4,4,0,0,1,34,6,0,1
0,4.43166,25,6,146,11,2,5,55,53,0,11,0,10,0,0,1.01,0,13,2,1.02,0
0,1.77712,3,1,10,1,1,0,0,7,0,1,0,0,0,0,1.01,0,6,1,0,1
0,1.56044,3,2,11,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,1.01,1
5,8.3733,6,4,79,6,1,0,15,20,0,4,0,3,3,0,0,6,0,3,1.01,0
0,4.41258,60,17,194,28,2,1,378,100,2.02,18,2.08,1,1,1.01,1.09,1,28,14,2.36,1
0,4.44773,15,12,85,12,5,0,66,40,0,12,0,7,1,0,2.04,3,80,9,1.3,1
3,10.2283,24,11,90,19,4,0,171,47,4.06,11,5.19,0,0,4.06,7.17,8,73,9,7.56,1
8,18.3841,50,10,145,29,3,16,406,78,1.01,25,7.21,4,4,4.04,8.52,9,133,24,9.65,1
3,14.266,7,2,60,5,4,1,10,24,1.02,3,3.07,3,3,1.02,4.1,5,47,5,3.18,1
0,7.10003,47,10,155,16,2,4,120,81,1.01,14,2.02,1,0,1.01,3.05,0,18,5,2.05,1
1,1.76682,73,20,415,30,1,1,435,141,3.03,21,0,17,8,3.03,0,1,6,8,1.1,1
9,10.3631,36,9,170,4,1,2,6,90,3.04,11,5.51,5,4,3.04,0,11,6,3,5.76,0
2,4.57971,14,2,65,9,1,2,36,34,0,4,0,0,0,0,0,2,6,0,1.02,1
0,6.41569,23,6,87,7,2,1,21,35,0,7,0,0,0,0,1.01,0,29,2,1.08,1
0,6.42599,4,0,10,5,5,1,10,5,0,1,0,1,1,0,3.06,0,75,4,0,1
2,4.79899,11,7,87,2,1,1,1,36,1.02,8,1.17,0,0,2.04,0,2,6,1,2.51,0
1,1.38451,148,25,599,44,5,4,946,292,0,28,0,19,19,0,0,2,70,19,1.02,1
1,4.19546,7,4,29,2,1,0,1,14,0,4,0,0,0,0,0,2,0,0,1.01,0
0,3.15241,3,5,89,3,1,1,3,14,0,6,0,1,1,0,0,1,0,1,0,1
2,11.1153,6,5,25,5,1,1,10,16,2.03,6,3.1,1,1,2.03,0,2,0,4,3.14,1
0,3.05459,4,2,21,6,1,7,15,14,0,9,0,1,1,0,0,1,0,5,0,1
1,6.09363,10,4,30,8,2,9,28,18,0,13,0,2,2,3.09,1.01,1,11,5,1.01,1
5,25.7875,25,17,89,20,4,1,190,57,5.17,18,8.49,2,2,6.18,12.31,8,78,10,8.82,1
0,2.99178,6,0,44,6,1,5,15,11,0,5,0,2,1,0,0,1,0,4,2.02,1
1,7.17242,14,4,58,9,3,1,36,30,1.01,5,1.08,4,4,1.01,3.04,2,32,1,1.18,0
31,33.6659,142,23,504,33,1,27,528,274,16.26,48,29.7,6,6,48.95,2.02,32,7,21,33.3,0
3,5.63729,23,4,81,15,4,14,105,35,0,18,2.03,1,1,1.01,3.47,5,233,14,3.07,1
5,19.8036,38,6,138,13,1,4,78,60,3.05,9,4.16,4,1,6.07,1.01,8,6,7,7.32,1
5,19.1818,50,19,272,29,3,3,406,179,6.11,22,9.05,13,12,7.11,4.08,6,21,7,11.64,1
7,19.1282,15,4,60,13,6,2,78,42,3.04,6,3.12,2,1,3.03,5.08,7,73,10,5.22,1
0,0,17,4,61,6,1,6,15,30,0,10,0,3,1,0,0,1,6,4,0,1
1,8.05292,2,1,15,1,1,0,0,4,1.01,1,1.01,0,0,2.02,1.01,2,6,1,1.01,1
7,19.8138,71,29,255,28,3,5,378,151,1.04,33,6.27,1,1,3.08,12.22,8,72,11,7.83,0
1,9.53614,1,1,8,1,1,0,0,3,1.02,1,1.03,1,0,1.02,0,1,0,1,2.08,1
1,2.97312,3,2,9,3,2,1,3,5,1.02,3,1.04,0,0,1.02,2.31,1,21,3,1.06,1
4,16.1061,32,9,118,9,2,1,36,40,2.05,10,3.22,2,2,2.05,3.05,4,14,3,2.6,1
0,6.90917,17,5,45,8,3,1,28,37,0,6,0,0,0,0,1.02,0,30,1,1.01,1
11,22.9998,36,9,245,12,2,1,66,83,7.1,10,15.13,19,18,7.1,1.01,14,13,4,17.21,0
1,10.1983,13,5,41,9,3,2,36,25,1.01,7,2.02,2,2,3.03,2.07,1,54,7,1.01,1
3,4.51037,3,2,15,2,1,1,1,7,0,3,1.11,2,2,0,0,3,6,2,1.27,1
2,11.1043,29,3,118,13,1,3,78,58,2.03,6,1.03,6,5,2.03,1.01,2,6,5,2.05,0
0,4.41258,8,4,32,6,6,11,15,12,0,14,1.02,3,3,3.1,2.06,1,93,3,1.03,1
2,9.1192,4,6,23,4,2,1,6,15,0,7,0,1,0,0,3.09,3,28,1,1.01,1
5,14.0791,12,2,30,5,1,6,10,21,1.03,8,3.06,9,3,2.04,1.01,5,6,2,2.05,1
1,0,18,1,59,9,1,9,36,31,0,10,0,0,0,1.01,0,1,6,9,0,1
0,7.6651,7,3,23,5,3,8,10,14,0,11,0,2,1,3.03,3.07,0,39,3,0,1
0,5.63928,1,0,3,1,2,0,0,1,0,0,0,0,0,0,5.08,0,20,1,0,1
1,6.41569,7,1,26,6,1,5,15,15,0,6,0,2,2,0,0,1,0,5,1.02,1
5,13.1365,32,9,196,19,4,1,171,83,6.1,10,8.53,9,9,6.1,6.14,15,32,9,8.47,1
1,3.01668,8,5,145,4,5,1,6,17,0,6,0,5,5,0,1.02,2,55,3,1.04,1
5,9.92215,2,5,46,1,1,0,0,15,1.01,5,1.05,0,0,1.01,0,7,0,1,4.41,0
3,11.828,7,5,27,2,2,1,1,21,1.01,6,3.03,1,1,3.03,0,4,3,1,2.03,1
7,15.769,25,8,90,6,1,1,15,45,3.03,9,4.07,4,4,3.03,1.01,7,6,2,3.17,1
0,7.46676,8,0,26,7,1,4,21,7,0,4,0,6,6,0,1.01,0,12,7,0,0
1,3.03875,11,0,33,11,1,6,55,18,0,6,0,2,1,1.01,0,2,0,11,0,1
0,1.76682,18,3,77,5,1,1,10,23,0,4,0,7,7,1.01,0,1,6,3,1.01,0
1,8.39741,18,12,110,11,4,1,55,50,2.02,13,2.04,2,1,2.02,9.11,1,51,3,1.03,0
1,5.5393,55,8,230,25,1,2,300,77,2.02,10,0,20,20,3.03,0,3,6,24,0,0
2,5.55124,62,7,220,22,2,5,231,87,1.01,12,2.12,10,9,1.01,1.11,3,11,14,3.26,1
0,5.02919,27,7,147,21,4,1,210,76,1.04,8,1.1,4,4,1.04,1.07,2,39,7,2.06,1
0,0,3,0,15,3,2,1,3,5,0,1,0,1,1,0,0,1,4,2,0,1
8,21.8778,39,14,180,19,1,2,171,112,4.04,16,8.42,1,0,4.04,0,8,0,9,9.85,0
0,0,7,1,27,5,1,4,10,11,0,5,0,2,0,0,0,1,0,4,0,1
1,7.47927,4,0,13,4,1,6,6,4,0,6,0,2,2,1.02,1.01,1,6,4,0,1
2,9.20458,8,0,28,8,2,18,28,12,0,18,1.02,0,0,10.17,0,3,6,6,1.08,1
