numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,ck_oo_numberOfAttributes,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
2,3.95872,9,6,26,7,2,3,21,20,9,1,0,0.040043,2.06,2,0,0.00831,39,6,0,0
1,3.1498,18,13,73,12,3,2,66,41,15,2,0,0.004194,4.1,1,0,0.021972,46,12,1.03,1
0,2.60998,1,4,9,1,1,1,0,15,5,1,0,0.006416,3.03,0,0,0.010398,9,1,0,1
0,0,13,1,54,10,1,5,45,24,6,9,1.01,0,3.03,0,0.001313,0.010398,9,7,1.07,1
1,0.792859,22,7,116,11,2,1,55,41,8,6,0,0.012267,0,1,0,0,15,5,0,0
0,0,2,1,6,2,1,1,1,4,2,3,2.02,0,3.03,0,0.001562,0.010398,10,2,0,1
2,6.14206,6,3,29,3,3,0,3,13,3,1,0,0.048659,3.03,2,0,0.010398,15,3,1.11,1
1,5.74047,4,4,32,3,1,1,3,13,5,3,0,0.075378,3.03,1,0,0.010398,10,2,2.19,1
22,28.939,104,25,507,17,1,3,136,175,27,18,7.08,0.155437,3.03,22,0.042548,0.010398,9,0,21.09,0
0,1.64243,2,1,6,2,4,2,1,3,3,0,1.01,0.003252,4.06,0,0,0.012366,21,1,0,1
3,3.93677,8,4,39,5,3,0,10,13,4,1,0,0.061722,2.04,3,0,0.00831,31,5,0,1
2,2.58708,11,6,43,4,2,1,6,33,7,3,1.01,0.037882,0,2,0.004292,0,15,4,0,1
0,0,18,1,27,3,1,1,3,5,2,17,0,0,0,0,0,0,9,2,0,1
0,2.99495,2,4,20,2,1,1,1,8,5,2,0,0.0053,3.03,0,0,0.010398,10,2,0,1
2,2.89247,16,3,64,10,2,2,45,23,5,6,0,0.035192,3.04,2,0,0.019885,16,10,1.08,1
1,3.9126,24,4,73,15,2,5,105,64,9,3,0,0.056379,3.06,1,0,0.010398,30,9,0,1
0,4.06683,8,6,25,5,3,1,10,19,7,1,0,0.006276,3.06,0,0,0.010398,44,5,0,1
1,2.36108,9,5,57,2,1,0,1,25,5,0,0,0.009436,1.01,1,0,0.005149,9,1,1.02,1
5,9.59891,26,8,114,7,1,2,21,35,10,19,6.08,0.031034,3.03,5,0.004402,0.010398,9,0,5.53,1
3,4.75056,20,11,103,6,1,0,15,49,11,4,2.04,0.019402,2.02,3,0.003144,0.005149,9,5,1.57,1
2,1.17973,13,11,66,5,2,0,10,37,11,7,0,0.003744,0,2,0,0,39,4,0,1
2,3.64568,31,4,140,10,1,2,45,33,6,14,0,0.018885,2.02,2,0,0.00831,9,1,1.02,1
2,1.54522,10,3,56,3,1,1,3,10,4,12,0,0.027315,0,2,0,0,9,2,1.08,1
1,1.41194,408,3,1504,51,1,1,1275,238,4,18,0,0.031537,3.03,1,0,0.010398,9,5,0,1
1,4.23349,1,3,10,2,1,1,1,8,4,0,0,0.057223,3.03,1,0,0.010398,10,2,0,1
6,4.91412,26,4,122,8,3,1,28,74,5,38,1.02,0.052003,1.01,6,0.002985,0.005149,16,3,2.96,1
3,4.99485,3,1,13,3,2,2,3,6,3,1,1.01,0.013279,3.03,3,0,0.010398,13,3,1.04,1
1,1.35264,109,1,615,8,2,0,28,60,1,11,0,0.035057,0,1,0,0,35,1,0,1
1,1.26735,7,1,21,7,2,1,21,12,1,1,0,0.012094,0,1,0,0,15,6,0,1
0,3.46402,1,0,3,1,1,0,0,1,0,0,0,0.016847,6.09,0,0,0.040749,28,1,0,1
0,2.64198,19,6,81,7,3,2,21,29,8,11,1.01,0.005022,4.04,0,0,0.013377,17,6,1.02,1
4,5.88673,5,5,18,5,2,1,10,14,6,2,1.01,0.018766,4.07,4,0.03059,0.013377,21,5,2.2,1
0,0,4,6,23,2,3,2,1,13,8,1,5.06,0,5.05,0,0.039843,0.024375,16,2,2.09,1
2,4.63879,10,2,46,1,3,0,0,16,2,0,0,0.011546,3.08,2,0,0.010098,24,0,0,1
1,3.28866,9,8,38,3,3,0,3,28,8,0,2.05,0.007742,2.07,1,0.006855,0.004949,46,2,1.26,1
1,1.18716,1,0,3,1,1,1,0,1,1,0,0,0.010376,2.02,1,0,0.026961,27,1,0,1
0,2.99256,11,0,33,7,1,8,21,7,8,3,7.07,0.007056,3.03,0,0,0.010398,9,7,0,0
6,10.3467,5,1,16,11,2,38,55,13,38,1,9.22,0.063853,3.06,6,0,0.010398,26,10,0,1
3,9.72561,33,9,113,13,3,17,78,65,24,4,5.09,0.043944,4.1,3,0.002227,0.021972,44,13,3.12,1
3,3.93677,6,3,36,5,2,1,10,10,4,2,1.01,0.061722,2.04,3,0.001705,0.00831,23,5,0,1
1,1.17486,21,2,59,4,2,2,6,19,4,5,0,0.003618,3.03,1,0,0.011468,15,4,0,1
1,7.75655,10,4,44,2,1,2,1,18,6,0,3.05,0.013608,3.03,1,0.001313,0.010398,9,2,3.21,1
0,0,10,15,92,3,1,0,3,50,15,4,0,0,0,0,0,0,48,1,0,1
1,1.48053,0,0,0,1,1,6,0,1,6,0,3.03,0.003655,5.07,1,0,0.038662,27,1,0,1
2,4.43735,15,11,77,3,1,1,3,42,12,2,2.02,0.037954,3.03,2,0.00542,0.010398,9,3,1.04,1
2,1.54522,84,10,388,17,2,6,136,60,15,22,0,0.027315,0,2,0,0,13,6,1.01,1
0,0,26,5,75,4,3,1,6,15,6,7,0,0,0,0,0,0,24,2,0,0
1,1.35264,2,1,6,2,4,1,1,3,2,0,0,0.035057,1.03,1,0,0.027761,106,0,0,1
0,2.52013,2,1,4,2,1,0,1,3,1,0,2.02,0.004181,3.03,0,0.00542,0.010398,9,1,0,1
1,1.17515,0,0,0,2,1,8,1,2,8,0,2.05,0.006345,0,1,0,0,9,2,0,1
2,8.13453,7,0,16,3,1,1,3,5,1,8,0,0.026586,4.14,2,0,0.011007,18,2,0,1
0,2.67407,13,7,68,7,3,1,21,36,8,2,0,0.004457,3.06,0,0,0.010398,47,7,0,1
3,5.69695,20,3,74,19,2,1,171,31,4,8,2.02,0.061694,3.09,3,0.002508,0.010398,39,19,2.17,1
0,1.31187,2,0,9,3,1,2,3,4,2,8,0,0.001388,3.03,0,0,0.010398,9,3,0,1
0,1.64243,2,1,6,2,5,8,1,3,9,0,3.03,0.003252,4.06,0,0,0.012366,23,1,0,1
1,7.67536,7,20,87,6,1,3,15,41,23,5,4.05,0.067602,3.03,1,0.002068,0.010398,10,4,4.13,1
2,3.37826,4,3,14,2,3,1,1,8,4,2,1.01,0.040476,2.02,2,0.002986,0.017159,16,2,2.16,1
9,9.24384,54,14,295,20,2,4,190,101,17,10,3.05,0.105203,6.12,9,0.00739,0.047833,58,9,8.57,0
0,1.43177,48,20,232,13,1,1,78,147,21,8,5.06,0.001468,3.03,0,0.010122,0.010398,9,8,2.03,1
2,2.62755,9,8,49,1,2,0,0,24,8,0,2.02,0.00712,2.02,2,0.006463,0.00831,23,0,0,1
1,1.35264,164,1,924,12,2,0,66,102,1,14,0,0.035057,0,1,0,0,35,1,0,1
0,2.67407,2,2,12,2,3,1,1,9,3,0,0,0.004457,3.06,0,0,0.010398,45,2,0,1
1,2.88097,5,1,14,11,2,1,55,14,2,6,0,0.055174,5.08,1,0,0.01379,33,9,0,1
2,2.76004,5,3,12,2,3,1,1,9,4,0,0,0.037532,2.02,2,0,0.017159,16,2,1.01,1
0,0,0,0,0,2,1,2,1,2,2,0,0,0,0,0,0,0,9,0,0,1
3,7.5969,10,7,30,7,2,73,21,25,80,1,22.46,0.015019,3.09,3,0,0.010398,39,6,0,1
3,2.57416,11,2,77,5,1,4,10,12,6,10,3.04,0.027038,2.02,3,0.002222,0.00831,9,5,3.19,1
1,1.12713,8,3,28,8,2,0,28,18,3,2,0,0.006451,1.01,1,0,0.002497,33,8,0,1
0,0,4,4,31,4,2,0,6,14,4,4,4.04,0,3.06,0,0.011137,0.010398,15,4,1.15,1
1,0.792859,13,4,80,9,2,2,36,35,4,5,1.01,0.012267,0,1,0,0,15,6,0,1
2,7.96475,14,4,50,10,2,3,45,25,7,1,1.01,0.013245,3.12,2,0,0.010398,44,10,0,1
4,6.48779,2,0,6,4,1,6,6,4,6,1,3.04,0.014612,3.03,4,0,0.010398,9,4,0,1
0,0,2,0,9,3,1,2,3,4,2,8,0,0,3.03,0,0,0.010398,9,3,0,1
3,3.87796,12,3,52,13,1,9,78,28,12,4,2.08,0.013544,2.02,3,0.004538,0.00831,9,11,1.03,1
0,0,7,1,24,7,1,3,21,9,4,5,4.04,0,3.03,0,0.006785,0.010398,9,6,0,1
5,7.66773,19,2,61,15,1,31,105,30,33,3,13.2,0.028153,3.03,5,0.002161,0.010398,9,15,2.16,1
2,2.35,4,0,13,4,1,3,6,4,3,3,0,0.009963,2.02,2,0,0.00831,9,4,1.03,1
1,1.35264,44,1,281,6,2,0,15,24,1,7,0,0.035057,0,1,0,0,35,1,0,1
1,2.88097,10,2,26,4,1,2,6,10,4,5,0,0.055174,3.03,1,0,0.010398,9,4,0,1
1,2.54988,16,8,79,9,1,1,36,30,9,6,1.02,0.009587,3.06,1,0.002161,0.010398,18,5,1.13,1
2,1.72811,8,4,30,6,2,1,15,12,5,8,0,0.010336,0,2,0,0,11,6,1.1,0
1,4.3615,11,3,42,9,1,2,36,20,5,6,0,0.05883,3.03,1,0,0.010398,9,8,0,1
0,0.740259,13,9,78,2,1,0,1,43,9,0,3.03,0.000755,3.03,0,0.02407,0.010398,9,2,1.01,1
4,6.60956,13,2,44,7,1,4,21,20,6,18,0,0.071995,3.06,4,0,0.010398,18,7,1.01,0
2,8.26847,32,10,237,11,1,0,55,63,10,2,3.05,0.092665,3.03,2,0.006733,0.010398,9,8,2.42,1
2,4.46352,7,6,48,3,2,0,3,35,6,1,2.04,0.01136,3.12,2,0.005496,0.010098,23,0,1.26,1
9,5.84867,1,0,3,6,1,1,15,7,1,0,0,0.026933,1.01,9,0,0.005149,9,0,1.03,1
1,0.792859,9,4,53,7,2,0,21,33,4,2,1.01,0.012267,0,1,0,0,15,4,0,1
1,1.3481,5,1,14,3,4,0,3,4,1,3,0,0.005996,1.01,1,0,0.005149,22,3,0,1
0,2.86786,6,1,24,4,1,0,6,12,1,2,1.01,0.004536,3.06,0,0.001313,0.010398,18,1,0,1
1,0.792859,0,0,0,4,1,3,6,4,3,0,0,0.012267,0,1,0,0,9,0,0,1
0,0.740259,23,4,132,7,1,1,21,46,5,16,1.01,0.000755,3.03,0,0.001313,0.010398,10,3,0,1
0,2.58836,8,1,18,1,1,1,0,7,2,0,0,0.006074,2.02,0,0,0.00831,9,1,0,1
3,5.46076,13,2,55,5,3,1,10,15,3,6,2.02,0.044519,4.05,3,0.00273,0.012366,16,3,3.12,0
2,1.54522,0,0,0,6,1,1,15,6,1,0,0,0.027315,0,2,0,0,9,0,0,1
0,0,4,1,16,3,1,1,3,7,2,1,0,0,7.14,0,0,0.041644,27,3,0,1
7,12.5285,15,5,131,9,2,9,36,28,14,2,5.09,0.076211,3.09,7,0.000914,0.010398,39,8,5.45,1
6,7.61688,27,13,153,9,2,0,36,71,13,9,4.07,0.027587,4.07,6,0.007154,0.01133,33,3,5.23,0
3,3.70195,19,4,77,10,1,3,45,29,7,7,0,0.0919,0,3,0,0,12,9,0,1
3,4.00726,17,3,57,4,1,2,6,26,5,5,0,0.089233,7.14,3,0,0.041644,27,2,0,1
0,0,128,3,482,21,1,1,210,174,4,8,0,0,3.03,0,0,0.010398,9,1,0,1
1,1.17486,21,5,77,4,1,2,6,45,7,1,2.02,0.003618,2.02,1,0.004292,0.00831,12,4,0,1
0,0,3,2,6,2,5,3,1,4,5,0,0,0,0,0,0,0,23,1,0,1
1,2.54988,9,1,20,3,1,2,3,5,3,0,2.02,0.009587,3.03,1,0,0.010398,9,2,1.07,1
2,2.65048,27,14,117,4,1,1,6,52,15,1,0,0.083459,0,2,0,0,9,2,0,1
2,2.35699,1,0,4,2,2,2,1,2,2,0,0,0.04406,0,2,0,0,13,2,1.03,1
0,2.29636,1,0,3,2,2,1,1,2,1,0,0,0.013768,4.14,0,0,0.011007,19,2,0,1
2,6.53653,14,3,56,4,3,0,6,17,3,7,3.03,0.090004,5.05,2,0.024322,0.024375,16,2,1.01,1
2,3.07326,82,5,335,42,2,6,861,88,11,2,1.05,0.074757,1.01,2,0,0.027761,29,41,0,1
1,1.26735,14,2,29,5,3,2,10,27,4,0,0,0.012094,1.01,1,0,0.027761,71,5,1.05,1
2,4.36338,47,5,256,20,1,1,190,38,6,16,1.01,0.036604,3.03,2,0.00273,0.010398,9,15,3.14,1
3,3.93677,6,3,44,5,2,1,10,10,4,2,1.01,0.061722,2.04,3,0.001705,0.00831,23,5,0,1
1,3.28866,3,3,11,2,2,0,1,6,3,0,0,0.007742,2.03,1,0,0.004949,39,2,0,1
1,0.792859,6,2,29,3,1,2,3,6,4,7,0,0.012267,0,1,0,0,9,3,0,1
1,3.28866,7,7,40,3,4,0,3,31,7,0,3.06,0.007742,2.08,1,0.010588,0.004949,51,2,1.26,1
0,2.58969,1,1,3,2,1,1,1,3,2,0,0,0.004777,3.03,0,0,0.010398,10,2,0,1
8,12.1251,24,1,82,24,2,1,276,60,2,1,1.01,0.026132,13.25,8,0,0.05882,58,19,5.48,1
1,3.87029,18,5,94,9,3,1,36,36,6,13,1.02,0.008026,5.11,1,0.03059,0.039276,41,9,1.14,1
0,0,321,2,847,19,1,1,171,423,3,5,0,0,3.03,0,0,0.010398,9,2,0,1
0,1.03163,24,3,87,3,1,2,3,23,5,5,0,0.001205,7.14,0,0,0.041644,27,2,0,1
4,7.46875,3,1,10,3,4,2,3,5,3,0,3.08,0.063705,4.33,4,0.03059,0.038159,63,3,1.67,1
1,0.60098,24,3,101,12,1,7,66,26,10,6,0,0.003885,0,1,0,0,18,10,0,1
1,4.57123,2,1,5,1,1,17,0,2,18,0,3.04,0.009093,3.03,1,0,0.010398,9,1,0,1
2,1.70353,12,3,51,6,2,1,15,23,3,3,0,0.045283,0,2,0,0,15,6,1.04,0
3,6.48196,28,8,88,13,2,1,78,44,9,3,1.01,0.052384,2.06,3,0,0.00831,39,12,1.13,1
0,4.06683,12,3,30,12,1,8,66,25,11,3,1.01,0.006276,3.06,0,0.00273,0.010398,18,11,0,1
1,0.60098,9,3,35,7,2,1,21,15,4,1,0,0.003885,0,1,0,0,35,7,0,1
0,0,11,2,45,6,1,1,15,18,3,5,2.02,0,3.03,0,0.004146,0.010398,12,6,0,1
13,16.4641,66,6,240,31,1,122,465,72,128,11,26.84,0.087196,4.14,13,0.02843,0.011292,18,27,9.13,1
1,1.17486,3,2,15,2,1,3,1,7,5,0,0,0.003618,2.02,1,0,0.00831,9,2,0,1
2,2.32375,3,1,12,3,1,7,3,7,8,0,2.02,0.008734,2.02,2,0,0.00831,11,3,0,1
9,9.3931,46,5,138,16,1,174,120,99,179,6,36.1,0.087733,3.06,9,0.001313,0.010398,18,16,2.3,1
1,3.28866,6,6,39,3,3,1,3,27,7,0,3.05,0.007742,2.07,1,0.010588,0.004949,46,2,1.25,1
0,2.61865,7,2,30,3,3,0,3,11,2,2,2.02,0.002806,4.05,0,0.005716,0.012366,16,3,4.09,1
1,3.28866,6,2,18,6,3,1,15,8,2,0,0,0.007742,4.12,1,0,0.037859,55,6,0,1
2,2.5984,5,3,25,3,2,0,3,11,3,27,2.02,0.053425,3.06,2,0.005716,0.010398,15,2,0,1
4,8.49681,29,5,59,9,2,1,36,28,6,7,6.14,0.097241,4.07,4,0.032961,0.013377,21,8,3.74,1
9,10.3357,25,14,167,8,1,13,28,56,26,0,8.26,0.076902,3.03,9,0.012657,0.010398,9,6,7.42,1
5,6.01329,64,5,271,19,1,1,171,40,6,41,1.01,0.060758,1.01,5,0.020279,0.005149,9,10,1.04,1
19,14.0755,22,7,114,12,2,19,66,55,26,3,9.15,0.040922,8.23,19,0.004271,0.027347,36,12,6.93,0
0,1.3633,8,5,34,5,3,1,10,18,6,4,0,0.001791,3.03,0,0,0.010398,24,4,0,1
1,4.17914,11,5,60,3,1,0,3,34,5,1,1.01,0.011494,3.03,1,0.001769,0.010398,9,1,1.01,1
1,2.76207,6,0,18,2,3,2,1,8,2,0,0,0.035341,2.06,1,0,0.00831,46,1,0,1
2,2.46006,7,5,32,6,2,5,15,16,10,1,2.06,0.009593,3.05,2,0.03059,0.01129,21,6,2.12,1
3,5.37625,6,3,34,2,3,1,1,10,4,10,2.02,0.042942,3.04,3,0.02077,0.010279,16,2,2.06,1
2,2.55041,6,1,19,5,1,4,10,16,5,1,0,0.053311,3.09,2,0,0.010398,32,5,0,1
6,7.86104,30,2,131,13,2,5,78,36,7,6,5.06,0.057674,5.08,6,0,0.01379,33,8,4.75,1
1,3.28866,2,2,9,2,2,0,1,6,2,0,0,0.007742,2.03,1,0,0.004949,39,2,0,1
18,10.9738,39,5,182,20,2,11,190,75,15,11,6.08,0.144352,1.01,18,0.01117,0.005149,11,11,7.74,0
0,1.03163,174,18,583,43,1,2,903,221,20,31,2.02,0.001205,3.03,0,0.004043,0.010398,9,22,0,1
1,3.9126,14,6,56,12,2,3,66,31,9,1,0,0.056379,3.06,1,0,0.010398,32,10,0,1
6,9.2521,26,4,81,10,2,2,45,53,6,2,2.02,0.097043,3.09,6,0,0.010398,39,9,1.05,1
2,2.69823,8,4,43,5,3,0,10,13,4,1,0,0.0098,2.04,2,0,0.00831,31,5,0,1
0,0,4,3,19,2,3,1,1,6,4,1,1.01,0,5.05,0,0.00273,0.024375,16,2,1.05,1
14,11.8687,39,7,154,15,1,1,105,55,8,13,4.05,0.091372,3.03,14,0.03717,0.010398,9,5,5.43,0
4,3.58153,4,3,16,4,3,1,6,12,4,8,1.03,0.016076,2.02,4,0.003144,0.003171,39,3,1.04,1
2,4.01034,4,3,19,2,3,1,1,6,4,1,1.01,0.084961,5.05,2,0.00273,0.024375,16,2,1.05,1
2,3.64676,3,0,7,4,2,3,6,4,3,2,2.02,0.007284,3.03,2,0,0.010398,13,4,0,1
1,1.54522,17,8,75,8,2,5,28,28,11,10,0,0.027315,0,1,0,0,13,4,1.04,1
6,8.77321,72,7,240,23,2,4,253,89,11,14,5.07,0.027524,2.03,6,0.00432,0.004949,39,14,7.68,1
0,0,16,1,41,1,1,1,0,2,2,3,0,0,3.03,0,0,0.010398,9,1,0,1
3,8.77244,42,8,129,10,2,2,45,76,10,4,2.03,0.080792,4.07,3,0.008456,0.013377,21,6,4.85,1
1,2.1402,1,3,19,3,2,1,3,6,4,0,1.01,0.006234,3.06,1,0,0.010398,19,2,0,1
0,1.45008,3,2,10,4,2,1,6,6,3,1,1.01,0.002148,4.07,0,0.003144,0.013377,21,4,0,1
1,1.18716,18,4,81,3,4,1,3,24,5,1,0,0.010376,1.01,1,0,0.01201,24,2,0,1
5,3.57285,6,3,44,3,3,1,3,11,4,3,0,0.013063,4.12,5,0,0.011745,49,3,1.03,1
2,5.50819,6,3,20,5,1,2,10,11,4,2,0,0.068771,3.03,2,0,0.010398,9,4,0,1
0,0,44,2,173,17,1,2,136,68,4,40,0,0,3.03,0,0,0.010398,9,3,0,1
2,1.54522,41,8,238,7,2,1,21,52,9,11,0,0.027315,0,2,0,0,11,4,0,1
1,1.09884,1,0,3,1,1,3,0,1,3,0,0,0.002528,5.07,1,0,0.038662,27,1,0,1
3,4.67365,5,3,21,4,1,4,6,18,7,2,1.01,0.013457,2.02,3,0,0.00831,9,4,1.01,1
1,1.35264,140,1,877,13,2,0,78,85,1,18,0,0.035057,0,1,0,0,35,1,0,1
3,6.53022,179,13,574,32,1,3,496,177,15,40,5.05,0.042617,3.03,3,0.025699,0.010398,9,17,2.06,1
0,1.64243,1,0,4,1,1,1,0,1,1,2,1.01,0.003252,3.06,0,0,0.010398,18,1,0,1
2,4.2341,4,3,17,2,3,11,1,6,14,0,2.03,0.038533,5.05,2,0.00273,0.024375,16,2,2.04,1
0,0,9,8,40,2,1,0,1,26,8,1,1.02,0,3.03,0,0.000395,0.010398,9,1,1.12,1
1,0.938338,8,1,71,2,1,1,1,7,2,0,0,0.011186,0,1,0,0,10,2,0,0
0,4.07967,12,5,40,7,1,2,21,24,7,1,4.06,0.006822,3.03,0,0.005046,0.010398,9,6,1.01,1
2,4.52366,5,4,18,4,2,1,6,11,5,1,2.03,0.014082,2.03,2,0.004754,0.004949,39,4,1.07,1
32,26.0888,6,2,22,4,3,1,6,18,3,26,1.03,0.158873,13.39,32,0.003733,0.05882,78,2,1.22,0
5,12.9419,36,9,147,15,3,1,105,72,10,8,2.02,0.027018,4.04,5,0.004457,0.013377,17,7,2.09,1
0,1.43177,6,5,28,2,1,0,1,14,5,0,3.03,0.001468,3.03,0,0.02407,0.010398,9,1,1.01,1
2,2.35,13,3,39,8,3,0,28,19,3,2,0,0.009963,3.05,2,0,0.01129,22,7,1.04,1
3,5.6765,11,7,40,7,2,1,21,31,8,5,2.03,0.01487,2.03,3,0.002416,0.004949,39,6,3.07,1
1,3.28866,3,3,10,3,2,0,3,6,3,0,0,0.007742,2.03,1,0,0.004949,39,2,0,1
0,1.64243,2,6,23,2,1,1,1,11,6,1,0,0.003252,11.18,0,0,0.022421,31,1,0,1
1,1.23854,4,0,13,4,1,0,6,5,0,8,1.02,0.051922,3.03,1,0,0.010398,9,4,1.04,1
6,6.29405,55,11,177,17,1,6,136,115,17,20,6.06,0.067275,3.04,6,0.022943,0.009428,19,9,5.29,1
5,7.31651,10,0,38,3,1,1,3,4,1,9,0,0.039384,3.03,5,0,0.010398,9,1,4.29,0
6,8.26464,26,5,132,12,2,2,66,44,7,15,3.03,0.038582,3.06,6,0.001077,0.010398,24,4,5.14,1
0,1.03163,17,3,57,4,1,2,6,26,5,5,0,0.001205,7.14,0,0,0.041644,27,2,0,1
2,1.54522,31,10,186,9,2,2,36,43,10,10,0,0.027315,1.01,2,0,0.004518,15,2,1.03,1
1,0.792859,10,2,42,7,2,2,21,12,3,7,0,0.012267,0,1,0,0,13,5,0,1
6,11.0402,10,2,36,7,3,19,21,17,21,3,4.08,0.063458,5.05,6,0.006463,0.024375,16,7,6.41,1
0,3.99248,16,6,50,11,1,2,55,39,8,4,3.04,0.006438,3.03,0,0.007292,0.010398,9,10,1.13,1
1,1.25985,2,2,6,2,3,0,1,6,2,0,0,0.036499,0,1,0,0,29,1,1.02,0
3,3.87796,1,0,3,5,1,4,10,6,4,0,0,0.013544,2.04,3,0,0.00831,18,5,0,1
2,2.76004,4,3,10,2,4,0,1,5,3,1,1.01,0.037532,1.01,2,0.020279,0.005149,22,2,0,1
0,1.39276,10,4,27,6,3,2,15,17,6,1,0,0.001819,4.12,0,0,0.038159,51,5,0,1
1,0.792859,5,1,13,5,2,1,10,6,2,2,0,0.012267,0,1,0,0,13,3,0,1
1,0.907447,20,2,115,2,1,6,1,7,8,9,1.01,0.006335,0,1,0,0,9,2,0,1
3,4.70913,18,1,63,11,1,28,55,32,29,3,6.13,0.011817,3.06,3,0,0.010398,18,9,1.03,1
1,1.35264,2,2,18,1,1,0,0,5,2,6,0,0.035057,0,1,0,0,9,1,0,1
0,5.87959,1,8,11,1,2,0,0,9,8,0,4.05,0.016575,3.03,0,0.002383,0.010398,15,0,2.02,1
1,1.35264,130,1,753,11,2,0,55,85,1,12,0,0.035057,0,1,0,0,35,1,0,1
0,0,16,12,98,7,1,2,21,58,14,1,2.02,0,3.03,0,0.004043,0.010398,9,6,0,1
1,3.28866,10,8,39,3,4,0,3,33,8,0,2.05,0.007742,2.08,1,0.006855,0.004949,51,2,1.25,1
6,8.72787,31,3,129,15,2,0,105,34,3,7,2.02,0.043102,5.06,6,0,0.013302,37,7,5.95,1
1,0.792859,7,3,37,6,2,0,15,22,3,3,0,0.012267,0,1,0.03059,0,14,6,1.02,1
9,10.2371,334,2,1040,32,1,1,496,184,3,19,1.01,0.108996,3.03,9,0.03059,0.010398,9,5,7.69,1
0,1.64243,38,0,72,2,1,0,1,45,0,0,1.01,0.003252,3.03,0,0.001313,0.010398,9,2,0,1
3,4.85274,8,1,30,4,3,6,6,14,7,2,4.07,0.049631,3.03,3,0.02301,0.02032,16,3,2.04,0
2,1.15014,1,0,3,7,1,2,21,7,2,1,0,0.02073,0,2,0,0,9,0,0,1
0,1.64243,10,2,32,10,2,6,45,19,8,1,3.06,0.003252,5.08,0,0.03059,0.039276,31,10,1.14,1
1,1.35264,41,1,265,6,2,0,15,23,1,7,0,0.035057,0,1,0,0,35,1,0,1
1,3.2211,12,3,44,5,1,3,10,14,6,6,0,0.005289,3.03,1,0,0.010398,9,0,0,1
3,6.7985,12,10,97,7,2,1,21,50,10,7,3.04,0.012109,3.06,3,0.005057,0.010398,24,7,1.03,1
1,0.792859,0,0,0,4,1,1,6,4,1,0,0,0.012267,0,1,0,0,9,0,0,1
1,3.23668,7,4,19,4,3,6,6,12,10,1,4.05,0.004716,4.12,1,0.001195,0.038159,49,3,2.09,1
3,4.85875,3,2,9,4,2,1,6,9,3,5,0,0.105557,3.03,3,0,0.011106,35,3,1.03,1
1,1.23499,18,8,55,8,4,0,28,41,8,4,0,0.00634,1.01,1,0,0.027761,64,7,0,1
1,4.40689,3,8,26,2,3,1,1,19,9,1,3.03,0.036837,3.03,1,0.02407,0.010398,12,2,1.02,1
4,4.52366,44,12,204,4,1,2,6,92,14,1,2.03,0.014082,2.02,4,0.005496,0.00831,9,3,3.29,1
2,3.41583,6,3,22,5,4,0,10,12,3,1,0,0.011663,3.09,2,0,0.036071,64,4,0,1
1,3.03811,10,12,50,7,1,2,21,36,14,4,1.01,0.055918,2.02,1,0,0.00831,9,7,1.09,1
1,1.35264,262,1,1501,34,2,0,561,137,1,4,0,0.035057,0,1,0,0,35,1,0,1
4,12.5926,7,2,22,13,1,27,78,17,29,2,12.16,0.030253,3.06,4,0.03059,0.010398,18,13,2.07,0
0,1.64243,1,0,3,2,2,1,1,2,1,0,0,0.003252,3.03,0,0,0.010398,26,2,0,1
0,1.43177,6,2,47,6,1,2,15,20,4,2,0,0.001468,3.03,0,0,0.010398,9,0,0,1
3,4.00726,24,3,90,3,1,5,3,29,8,5,2.02,0.089233,7.14,3,0,0.041644,27,2,1.03,1
1,1.35264,98,1,540,12,2,0,66,59,1,11,0,0.035057,0,1,0,0,35,1,0,1
2,1.38982,20,5,63,8,1,2,28,31,6,4,0,0.013912,0,2,0,0,16,8,1.03,1
6,4.73438,11,4,31,12,1,15,66,28,19,0,4.07,0.070693,0,6,0.011413,0,12,12,4.18,1
0,2.67407,1,0,3,1,1,1,0,1,1,0,0,0.004457,7.14,0,0,0.041644,27,1,0,1
0,1.03163,2,0,9,3,1,2,3,4,2,8,0,0.001205,3.03,0,0,0.010398,9,3,0,1
1,0.792859,7,2,32,5,2,1,10,9,3,4,0,0.012267,0,1,0,0,13,5,0,1
0,1.97962,44,2,216,3,3,2,3,8,4,2,2.02,0.002187,5.05,0,0.00339,0.024375,16,3,5.82,1
13,18.28,39,5,189,23,1,3,253,84,8,10,8.1,0.099443,3.03,13,0.004914,0.010398,9,19,4.09,1
1,3.28866,6,0,18,6,3,0,15,6,0,0,0,0.007742,4.12,1,0,0.037859,55,6,0,1
0,2.58836,3,2,10,3,2,0,3,5,2,0,0,0.006074,2.03,0,0,0.004949,39,2,0,1
4,6.47189,58,26,319,10,2,0,45,165,26,3,0,0.067137,3.03,4,0,0.010398,12,4,1.02,1
