numberOfNonTrivialBugsFoundUntil:,CvsWEntropy,CvsEntropy,ck_oo_wmc,CvsLogEntropy,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,class
16,0.844937,20.3646,286,0.625331,12.7,66,1041,64,3,9,2016,566,67,14.36,38,9.15,1.08,18,15,27,0
1,0,0,62,0,0,18,369,18,1,2,153,147,19,0,12,0,0,1,7,8,0
8,0.389075,13.8863,59,0.36207,2.07,10,336,17,1,4,136,79,12,3.16,15,5.05,1.01,10,10,4,0
3,0.026663,5.37258,8,0.129977,0,1,47,2,1,1,1,18,2,0,0,0,1.01,3,7,1,1
6,0.705261,6.45548,34,0.243324,3.29,3,114,6,1,2,15,36,5,2.2,10,1.01,0,6,7,3,0
6,0.059648,6.72719,15,0.154262,1.07,6,48,7,1,1,21,27,7,3.16,1,5.05,1.01,7,13,4,1
2,0.024276,4.89304,22,0.11455,0,7,98,4,1,2,6,36,9,0,2,1.01,1.01,2,7,3,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,7,0,1
43,1.23574,27.0966,264,0.723326,23.46,30,862,46,1,13,1035,350,39,23.39,34,13.22,2.02,45,11,6,0
3,0.240665,5.51058,122,0.182549,1.01,16,503,28,1,6,378,252,21,2.02,22,2.07,1.01,3,7,13,0
1,0,0,2,0,0,4,9,2,1,0,1,8,4,0,0,0,0,1,9,2,1
6,0.203845,9.9193,11,0.23388,1.01,6,33,3,1,15,3,18,21,0,32,5.18,1.01,6,7,3,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
2,0.056529,6.45874,0,0.184811,0,0,0,0,2,0,0,0,0,0,23,0,1.02,2,12,0,1
17,0.97837,26.2611,195,0.721127,20.25,21,513,45,2,5,990,322,22,22.85,21,10.15,3.07,18,16,4,0
4,0.052113,8.38997,28,0.228558,1.02,3,95,9,1,2,36,57,5,1.01,2,1.01,1.01,4,9,3,0
2,0.022188,2.99956,7,0.077213,0,2,28,4,1,4,6,8,6,0,1,0,1.01,2,7,4,1
1,0,0,2,0,0,3,10,2,1,1,1,6,4,0,1,0,0,1,8,2,0
1,0.029826,6.91692,34,0.220354,2.04,4,81,8,1,11,28,39,15,2.06,6,5.06,1.01,1,7,8,0
0,0.019633,3.0823,1,0.069144,1.03,0,4,1,2,1,0,1,1,1.03,1,0,3.05,0,12,1,1
1,0.030161,1.11258,3,0.037395,0,6,15,3,1,0,3,14,6,0,0,0,0,1,9,2,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
4,0.137283,5.08544,60,0.127419,1.03,18,252,33,1,19,528,114,34,2.02,14,5.05,0,4,32,32,0
1,0.013068,1.5526,13,0.037473,0,2,49,8,1,1,28,21,2,0,5,0,0,1,12,7,1
2,0.033341,1.00337,33,0.059163,0,6,86,14,1,7,91,43,13,0,6,1.01,0,2,14,8,1
1,0.030216,2.23731,17,0.053999,0,7,68,11,1,0,55,22,7,0,2,1.01,0,1,17,10,0
6,0.189308,4.27896,26,0.22498,2.07,15,77,7,2,3,21,36,17,2.16,18,1.09,1.01,6,11,5,1
2,0.050055,4.23984,13,0.137633,3.06,4,36,10,2,11,45,15,14,3.1,4,4.05,2.03,2,20,6,0
0,0.004036,1.27192,8,0.031256,0,4,24,4,1,18,6,17,22,0,2,5.22,1.01,1,7,4,1
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,7,1,1
8,0.08081,9.10093,42,0.208031,4.09,7,148,9,1,2,36,60,9,3.11,6,0,3.04,8,19,4,1
2,0.015772,4.83075,18,0.116694,0,3,71,10,1,2,45,23,5,0,3,0,1.01,2,13,10,1
9,0.253672,12.3019,48,0.308872,8.44,13,182,11,1,4,55,68,16,8.55,11,5.06,2.03,9,18,6,1
4,0.102111,7.43856,30,0.229765,3.07,12,100,7,1,1,21,45,13,3.13,8,3.04,1.01,6,9,5,1
1,0.022196,2.23731,18,0.053999,0,17,89,4,1,1,6,59,17,0,3,0,0,1,10,4,1
3,0.157973,6.44925,22,0.156537,0,7,77,10,1,1,45,29,7,0,9,0,2.05,3,33,5,0
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
1,0.008932,3.66738,5,0.084597,0,0,14,4,1,7,6,4,7,0,2,2.02,2.02,1,10,2,0
0,0.023337,3.36934,2,0.079924,0,0,6,2,1,1,1,3,1,0,1,0,1.01,0,8,2,1
0,0.023337,3.36934,9,0.079924,0,3,30,4,1,1,6,14,4,0,2,3.03,3.04,0,19,4,1
3,0.159463,6.88373,10,0.160984,2.06,6,59,3,1,0,3,20,6,2.11,1,2.03,2.04,3,7,1,0
6,0.242556,3.66794,30,0.133375,3.11,10,155,12,1,9,66,83,19,3.29,7,5.07,0,6,7,12,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
5,0.078387,6.22082,15,0.171417,3.04,0,52,6,1,1,15,25,1,3.07,4,0,2.02,6,11,6,0
1,0.003835,1.56389,16,0.034973,2.02,4,70,6,1,2,15,16,5,2.04,4,1.01,3.04,1,27,1,1
44,1.00321,30.7015,211,0.824092,22.35,32,705,64,1,11,2016,385,38,23.43,24,16.28,9.16,46,44,39,0
2,0.025222,2.7276,1,0.066461,0,4,7,1,1,0,0,7,4,0,0,0,0,2,8,1,1
22,0.427406,21.7572,147,0.579346,12.92,17,425,75,2,9,2775,180,24,15.46,26,8.17,7.21,24,48,35,0
7,0.995158,13.805,59,0.354113,12.69,11,246,12,1,1,66,78,11,6.73,30,4.14,4.23,7,33,5,0
2,0.142542,5.27095,30,0.136117,2.08,6,78,10,1,2,45,37,8,2.11,2,1.01,0,3,13,8,0
3,0.037782,1.38948,52,0.086965,1.07,10,124,20,2,4,190,67,12,1.07,3,1.01,0,3,27,14,1
4,0.38182,2.95723,42,0.178434,2.11,9,177,16,2,3,120,101,11,2.2,5,1.02,0,4,16,6,1
3,0.119214,4.60695,11,0.112732,1.04,4,33,4,2,1,6,22,5,1.13,1,0,13.4,3,97,4,0
2,0.201274,7.2789,46,0.168955,1.08,4,186,9,1,4,36,51,8,1.07,2,6.07,2.09,2,7,7,0
1,0.010707,1.5526,4,0.037473,0,4,21,4,1,1,6,10,4,0,2,0,0,1,10,4,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
4,0.270869,7.8367,10,0.262245,1.02,7,45,7,2,1,21,24,7,1.06,2,1.02,0,4,15,6,0
1,0,0,5,0,0,0,18,5,1,5,10,5,5,0,6,0,0,1,7,5,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
1,0.026434,2.80848,1,0.068515,0,1,3,2,1,1,1,3,2,0,0,0,1.01,1,8,2,1
3,0.075414,5.00534,14,0.125917,1.01,5,62,7,2,1,21,29,6,1.02,0,1.01,1.01,3,20,7,1
4,0.231255,7.7601,38,0.206167,2.05,11,120,20,2,1,190,54,12,2.04,6,2.03,1.01,4,42,17,1
16,0.243089,17.541,52,0.472579,9.27,17,159,18,1,11,153,73,25,7.55,5,7.12,2.04,16,12,7,0
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
1,0,0,1,0,0,2,4,1,1,0,0,3,2,0,0,0,0,1,8,1,1
4,0.163109,6.60072,22,0.179821,2.03,9,79,7,1,1,21,31,10,1.01,6,1.01,1.01,4,11,5,1
1,0.03861,4.6384,3,0.139325,0,0,10,3,2,2,3,3,2,0,1,0,0,1,17,3,1
1,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,8,1,1
0,0.004036,1.27192,3,0.031256,0,3,11,2,1,1,1,5,3,0,2,0,0,1,8,2,1
1,0,0,1,0,0,2,4,1,1,0,0,3,2,0,0,0,0,1,8,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1
1,0.052387,3.61726,23,0.111739,0,10,173,12,1,1,66,121,10,0,14,1.01,0,2,16,1,1
0,0,0,7,0,0,3,27,2,1,2,1,18,5,0,0,0,0,0,7,1,1
27,0.727254,30.3698,142,0.88573,12.8,31,712,63,1,32,1953,295,57,19.4,7,16.21,4.05,28,30,27,0
1,0,0,2,0,0,2,15,2,1,0,1,10,2,0,0,0,0,1,9,2,1
1,0,0,2,0,0,2,6,2,1,0,1,8,2,0,0,0,0,1,9,2,1
